id,type,reference_price,descript,url,company
1772403,Hi nova 11（8GB/256GB） ,2799,CPU型号:高通 骁龙778G CPU核心数:八核 RAM容量:8GB ROM容量:256GB 电池容量:4000mAh 后置摄像头1 后置摄像头:5000万像素 有线充电:66w（11V/6A）,http://detail.zol.com.cn/cell_phone/index1772403.shtml,Hi nova
1395143,Hi nova 9（8GB/128GB/全网通/5G版） ,2999,前置3200万超清人像镜头，120Hz原色超曲屏，后置5000万超感光主摄，66W超级快充,http://detail.zol.com.cn/cell_phone/index1395143.shtml,Hi nova
1395189,Hi nova 9 Pro（8GB/128GB/全网通/5G版） ,3799,前置双3200万影像单元，120Hz原色超曲屏，后置5000万超感光主摄,http://detail.zol.com.cn/cell_phone/index1395189.shtml,Hi nova
1430895,Hi nova 10（8GB/256GB） ,3199,10.7亿色，前置6000万，120Hz刷新率,http://detail.zol.com.cn/cell_phone/index1430895.shtml,Hi nova
1403130,Hi nova 9 SE （8GB/128GB） ,2499,屏幕尺寸:6.78英寸 屏幕材质:LCD 分辨率:2388x1080像素 像素密度:387ppi 屏幕类型:全面屏（中置挖孔屏） CPU型号:高通 骁龙695 CPU核心数:八核,http://detail.zol.com.cn/cell_phone/index1403130.shtml,Hi nova
1405415,Hi nova 9z（8GB/128GB） ,1799,6400万像素，66W疾速快充，120Hz原彩屏,http://detail.zol.com.cn/cell_phone/index1405415.shtml,Hi nova
1772405,Hi nova 11 Pro ,0,CPU型号:高通 骁龙778G CPU核心数:八核 RAM容量:8GB ROM容量:128GB 电池容量:4500mAh 后置摄像头1 后置摄像头:5000万像素 有线充电:100w（20V/5A）,http://detail.zol.com.cn/cell_phone/index1772405.shtml,Hi nova
1430897,Hi nova 10 Pro（8GB/128GB） ,3899,骁龙778G，5000万像素，120Hz刷新率,http://detail.zol.com.cn/cell_phone/index1430897.shtml,Hi nova
1395275,Hi nova 9（8GB/256GB/全网通/5G版） ,3399,前置3200万超清人像镜头，120Hz原色超曲屏，后置5000万超感光主摄，66W超级快充,http://detail.zol.com.cn/cell_phone/index1395275.shtml,Hi nova
1431603,Hi nova 10（8GB/128GB） ,2899,10.7亿色，前置6000万，120Hz刷新率,http://detail.zol.com.cn/cell_phone/index1431603.shtml,Hi nova
1395276,Hi nova 9 Pro（8GB/256GB/全网通/5G版） ,4199,前置双3200万影像单元，120Hz原色超曲屏，后置5000万超感光主摄,http://detail.zol.com.cn/cell_phone/index1395276.shtml,Hi nova
1950434,Hi nova 10 SE 256GB ,2199,1亿像素质感人像，66W超级快充Turbo，5G双模全网通,http://detail.zol.com.cn/cell_phone/index1950434.shtml,Hi nova
1404215,Hi nova 9 SE （8GB/256GB） ,2699,屏幕尺寸:6.78英寸 屏幕材质:LCD 分辨率:2388x1080像素 屏幕类型:全面屏（中置挖孔屏） CPU型号:高通 骁龙695 CPU核心数:八核 RAM容量:8GB,http://detail.zol.com.cn/cell_phone/index1404215.shtml,Hi nova
1406387,Hi nova 9z（8GB/256GB） ,1999,6400万像素，66W疾速快充，120Hz原彩屏,http://detail.zol.com.cn/cell_phone/index1406387.shtml,Hi nova
1431606,Hi nova 10 Pro（8GB/256GB） ,4199,骁龙778G，5000万像素，120Hz刷新率,http://detail.zol.com.cn/cell_phone/index1431606.shtml,Hi nova
