id,type,reference_price,descript,url,company
1379768,Moto Edge S Pro（8GB/128GB/全网通/5G版） ,2699,高通骁龙870处理器，1亿像素主摄，50X潜望式变焦，10亿144Hz OLED臻彩屏，Ready For多屏畅连,http://detail.zol.com.cn/cell_phone/index1379768.shtml,Moto
1511684,Moto Razr 40（8GB/128GB） ,3999,自由悬停，6400万像素光学防抖，144Hz刷新,http://detail.zol.com.cn/cell_phone/index1511684.shtml,Moto
1426916,Moto X40（8GB/128GB） ,3399,165Hz四曲臻彩屏，5000万像素主摄，IP68防水,http://detail.zol.com.cn/cell_phone/index1426916.shtml,Moto
1857577,Moto g54（8GB/128GB） ,1099,5000万AI影像，5000mAh， 120Hz,http://detail.zol.com.cn/cell_phone/index1857577.shtml,Moto
1975069,Moto Razr 40 Ultra 柔和桃限定版（12GB/512GB） ,5399,柔和桃限定版，双屏影像，165Hz刷新,http://detail.zol.com.cn/cell_phone/index1975069.shtml,Moto
1553654,Moto Razr 40 Ultra（12GB/512GB） ,6399,3.6英寸外屏，双屏影像，165Hz刷新,http://detail.zol.com.cn/cell_phone/index1553654.shtml,Moto
1511683,Moto Razr 40 Ultra（8GB/256GB） ,5699,3.6英寸外屏，双屏影像，165Hz刷新,http://detail.zol.com.cn/cell_phone/index1511683.shtml,Moto
1401560,Moto Edge S30（12GB/512GB/5G版/冠军版） ,2499,骁龙888 Plus处理器，超大底前后三主摄，68W快充，144Hz10亿色超感臻彩屏,http://detail.zol.com.cn/cell_phone/index1401560.shtml,Moto
1335466,Moto razr（8GB/256GB/全网通/5G版） ,12499,刀锋折叠屏，4800万像素超强自拍，双屏双视界，无缝无折痕,http://detail.zol.com.cn/cell_phone/index1335466.shtml,Moto
1355934,Moto edge s（8GB/128GB/全网通/5G版） ,2399,骁龙870，5000mAh电池，AI前后六摄，2.8cm超微距，LPDDR5,http://detail.zol.com.cn/cell_phone/index1355934.shtml,Moto
1414233,moto X30 Pro（12GB/256GB） ,3999,2亿像素，高通骁龙8+，黄金三焦段,http://detail.zol.com.cn/cell_phone/index1414233.shtml,Moto
1394397,Moto Edge X30（8GB/128GB/全网通/5G版） ,2899,骁龙8 Gen1处理器，超大底前后三主摄，68W快充，144Hz10亿色超感臻彩屏,http://detail.zol.com.cn/cell_phone/index1394397.shtml,Moto
1990847,Moto X50 Ultra AI ,0,,http://detail.zol.com.cn/cell_phone/index1990847.shtml,Moto
1437012,Moto g53（8GB/128GB） ,1099,120HZ高刷护眼大屏 ，5000mAh超长续航，5000万像素AI影像,http://detail.zol.com.cn/cell_phone/index1437012.shtml,Moto
1648969,Moto Razr 40（12GB/256GB） ,4699,自由悬停，6400万像素光学防抖，144Hz刷新,http://detail.zol.com.cn/cell_phone/index1648969.shtml,Moto
1648968,Moto Razr 40（8GB/256GB） ,4299,自由悬停，6400万像素光学防抖，144Hz刷新,http://detail.zol.com.cn/cell_phone/index1648968.shtml,Moto
1395336,Moto Edge S30（6GB/128GB/全网通/5G版） ,1699,骁龙888 Plus处理器，超大底前后三主摄，68W快充，144Hz10亿色超感臻彩屏,http://detail.zol.com.cn/cell_phone/index1395336.shtml,Moto
1437092,Moto X40（12GB/256GB） ,3999,165Hz四曲臻彩屏，5000万像素主摄，IP68防水,http://detail.zol.com.cn/cell_phone/index1437092.shtml,Moto
1359442,Moto G50（8GB/128GB/全网通/5G版） ,1499,8GB超大内存，90Hz高刷大屏，4800万像素三摄，5000mAh大电池,http://detail.zol.com.cn/cell_phone/index1359442.shtml,Moto
1421648,moto razr 2022（8GB/128GB） ,5999,折叠旗舰手机，黑色系，晓龙8+,http://detail.zol.com.cn/cell_phone/index1421648.shtml,Moto
1381695,Moto Edge S Pro（12GB/256GB/全网通/5G版） ,3299,高通骁龙870处理器，1亿像素主摄，50X潜望式变焦，10亿144Hz OLED臻彩屏，Ready For多屏畅连,http://detail.zol.com.cn/cell_phone/index1381695.shtml,Moto
1425200,Moto g71s（8GB/128GB） ,1357,光学防抖，120Hz高刷，大容量电池,http://detail.zol.com.cn/cell_phone/index1425200.shtml,Moto
1357757,Moto edge s（8GB/256GB/全网通/5G版） ,2799,骁龙870，5000mAh电池，AI前后六摄，2.8cm超微距，LPDDR5,http://detail.zol.com.cn/cell_phone/index1357757.shtml,Moto
1423629,moto S30 Pro（12GB/512GB） ,2699,高通骁龙888+，10亿色超感屏，68W高速闪充,http://detail.zol.com.cn/cell_phone/index1423629.shtml,Moto
1395326,Moto g51（8GB/128GB/全网通/5G版） ,1499,高通骁龙480Plus处理器，5000万像素旗舰影像，120Hz高刷大屏，5000mAh大电池，一键触达健康码,http://detail.zol.com.cn/cell_phone/index1395326.shtml,Moto
1379770,Moto Edge 轻奢版（8GB/128GB/全网通/5G版） ,2599,高通骁龙778G处理器，1亿像素30倍融合变焦，3200万超感光自拍，10亿色144Hz OLED臻彩屏,http://detail.zol.com.cn/cell_phone/index1379770.shtml,Moto
1437093,Moto X40（12GB/512GB） ,4299,165Hz四曲臻彩屏，5000万像素主摄，IP68防水,http://detail.zol.com.cn/cell_phone/index1437093.shtml,Moto
1396291,Moto g71（8GB/128GB/5G版） ,1699,屏幕尺寸:6.43英寸 屏幕材质:OLED 分辨率:1920x1080像素 像素密度:343ppi 屏幕类型:全面屏（中置挖孔屏） CPU型号:高通 骁龙695 CPU核心数:八核,http://detail.zol.com.cn/cell_phone/index1396291.shtml,Moto
1505519,Moto Edge 40 ,0,,http://detail.zol.com.cn/cell_phone/index1505519.shtml,Moto
1408326,Moto Edge X30（12GB/512GB/5G版/冠军版） ,2999,骁龙8 Gen1处理器，超大底前后三主摄，68W快充，144Hz10亿色超感臻彩屏,http://detail.zol.com.cn/cell_phone/index1408326.shtml,Moto
1648749,Moto Razr 40 Ultra  非凡洋红限定版 ,6399,3.6英寸外屏，双屏影像，165Hz刷新,http://detail.zol.com.cn/cell_phone/index1648749.shtml,Moto
1357758,Moto edge s（6GB/128GB/全网通/5G版） ,1999,骁龙870，5000mAh电池，AI前后六摄，2.8cm超微距，LPDDR5,http://detail.zol.com.cn/cell_phone/index1357758.shtml,Moto
1395648,Moto Edge S30（12GB/256GB/全网通/5G版） ,2399,骁龙888 Plus处理器，超大底前后三主摄，68W快充，144Hz10亿色超感臻彩屏,http://detail.zol.com.cn/cell_phone/index1395648.shtml,Moto
1424129,moto X30 Pro（12GB/512GB） ,4499,2亿像素，高通骁龙8+，黄金三焦段,http://detail.zol.com.cn/cell_phone/index1424129.shtml,Moto
1395647,Moto Edge S30（8GB/256GB/全网通/5G版） ,2199,骁龙888 Plus处理器，超大底前后三主摄，68W快充，144Hz10亿色超感臻彩屏,http://detail.zol.com.cn/cell_phone/index1395647.shtml,Moto
1381693,Moto Edge S Pro（8GB/256GB/全网通/5G版） ,2999,高通骁龙870处理器，1亿像素主摄，50X潜望式变焦，10亿144Hz OLED臻彩屏，Ready For多屏畅连,http://detail.zol.com.cn/cell_phone/index1381693.shtml,Moto
1255312,Moto G7 Plus（4GB RAM/全网通） ,1099,屏幕类型:全面屏（18:9水滴屏） 主屏尺寸:6.24英寸 主屏材质:LCD 主屏分辨率:2280x1080像素 屏幕像素密度:407ppi CPU型号:高通 骁龙636 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE,http://detail.zol.com.cn/cell_phone/index1255312.shtml,Moto
1424135,moto razr 2022（12GB/512GB） ,7299,折叠旗舰手机，黑色系，晓龙8+,http://detail.zol.com.cn/cell_phone/index1424135.shtml,Moto
1347137,Moto G（全网通/5G版） ,2348,双模5G，5000mAh大电池，4800万AI三摄,http://detail.zol.com.cn/cell_phone/index1347137.shtml,Moto
1424134,moto razr 2022（8GB/256GB） ,6499,折叠旗舰手机，黑色系，晓龙8+,http://detail.zol.com.cn/cell_phone/index1424134.shtml,Moto
1381696,Moto Edge 轻奢版（8GB/256GB/全网通/5G版） ,2899,高通骁龙778G处理器，1亿像素30倍融合变焦，3200万超感光自拍，10亿色144Hz OLED臻彩屏,http://detail.zol.com.cn/cell_phone/index1381696.shtml,Moto
1395646,Moto Edge S30（8GB/128GB/全网通/5G版） ,1999,骁龙888 Plus处理器，超大底前后三主摄，68W快充，144Hz10亿色超感臻彩屏,http://detail.zol.com.cn/cell_phone/index1395646.shtml,Moto
1437094,Moto g53（4GB/128GB） ,899,120HZ高刷护眼大屏 ，5000mAh超长续航，5000万像素AI影像,http://detail.zol.com.cn/cell_phone/index1437094.shtml,Moto
1424139,moto S30 Pro（8GB/128GB） ,1999,高通骁龙888+，10亿色超感屏，68W高速闪充,http://detail.zol.com.cn/cell_phone/index1424139.shtml,Moto
1399058,Moto Edge X30（12GB/256GB/5G版/屏下摄像头版） ,3499,骁龙8 Gen1处理器，超大底前后三主摄，68W快充，144Hz10亿色超感臻彩屏,http://detail.zol.com.cn/cell_phone/index1399058.shtml,Moto
1395645,Moto Edge X30（12GB/256GB/全网通/5G版） ,3399,骁龙8 Gen1处理器，超大底前后三主摄，68W快充，144Hz10亿色超感臻彩屏,http://detail.zol.com.cn/cell_phone/index1395645.shtml,Moto
1267153,Moto G7 Plus（6GB RAM/全网通） ,1199,屏幕类型:全面屏（18:9水滴屏） 主屏尺寸:6.24英寸 主屏材质:LCD 主屏分辨率:2280x1080像素 屏幕像素密度:407ppi CPU型号:高通 骁龙636 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE,http://detail.zol.com.cn/cell_phone/index1267153.shtml,Moto
1330983,Moto G 5G Plus（4GB/64GB/全网通） ,3399,骁龙765，双模5G，5000mAh电池,http://detail.zol.com.cn/cell_phone/index1330983.shtml,Moto
1381694,Moto Edge S Pro（6GB/128GB/全网通/5G版） ,2399,高通骁龙870处理器，1亿像素主摄，50X潜望式变焦，10亿144Hz OLED臻彩屏，Ready For多屏畅连,http://detail.zol.com.cn/cell_phone/index1381694.shtml,Moto
1424138,moto S30 Pro（12GB/256GB） ,2499,高通骁龙888+，10亿色超感屏，68W高速闪充,http://detail.zol.com.cn/cell_phone/index1424138.shtml,Moto
1424130,moto X30 Pro（8GB/128GB） ,3699,2亿像素，高通骁龙8+，黄金三焦段,http://detail.zol.com.cn/cell_phone/index1424130.shtml,Moto
1437091,Moto S30 Pro Pantone限量版（12GB/512GB） ,2699,高通骁龙888+，10亿色超感屏，68W高速闪充,http://detail.zol.com.cn/cell_phone/index1437091.shtml,Moto
1359265,Moto G30（全网通） ,0,主屏尺寸:0英寸 屏幕类型:全面屏（水滴屏） CPU型号:高通 骁龙662 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE CPU频率:2.0Ghz A73*4+1.8GHz A53*4 核心数:八核 RAM容量:4GB/6GB,http://detail.zol.com.cn/cell_phone/index1359265.shtml,Moto
1349209,Moto E7（2GB/32GB全网通） ,940,主屏尺寸:6.5英寸 屏幕类型:全面屏（水滴屏） 主屏材质:LCD 主屏分辨率:1600x720像素 CPU型号:联发科 Helio G25 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE SIM卡类型:双卡（2+1卡槽，双Nano-Sim卡+micro-SD卡）,http://detail.zol.com.cn/cell_phone/index1349209.shtml,Moto
1347135,Moto G9 Power（4GB/128GB/全网通） ,1565,6000mAh大电池，20W快充，骁龙662处理器,http://detail.zol.com.cn/cell_phone/index1347135.shtml,Moto
1395644,Moto Edge X30（8GB/256GB/全网通/5G版） ,3199,骁龙8 Gen1处理器，超大底前后三主摄，68W快充，144Hz10亿色超感臻彩屏,http://detail.zol.com.cn/cell_phone/index1395644.shtml,Moto
1349222,Moto E7 Plus（4GB/64GB全网通） ,1925,主屏尺寸:6.5英寸 屏幕类型:全面屏（水滴屏） 主屏材质:LCD 出厂系统内核:Android 10 主屏分辨率:1600x720像素 CPU型号:高通 骁龙460 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE,http://detail.zol.com.cn/cell_phone/index1349222.shtml,Moto
1795858,Moto G14 ,0,,http://detail.zol.com.cn/cell_phone/index1795858.shtml,Moto
1359259,Moto G10（全网通） ,0,主屏尺寸:0英寸 屏幕类型:全面屏（水滴屏） CPU型号:高通 骁龙460 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE CPU频率:1.8Ghz 核心数:八核 RAM容量:4GB,http://detail.zol.com.cn/cell_phone/index1359259.shtml,Moto
