id,type,reference_price,descript,url,company
1210166,VERTU SIGNATURE 眼镜蛇限量款（全网通） ,247.4万,主屏尺寸:2英寸 主屏分辨率:320x240像素 屏幕像素密度:200ppi 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 电池类型:可拆卸式电池 闪光灯:LED补光灯 传感器类型:CMOS,http://detail.zol.com.cn/cell_phone/index1210166.shtml,VERTU
1432086,VERTU METAVERTU 碳纤维基础款（12GB/512GB） ,25800,Web3.0，6400万超人文主摄，AMOLED曲面屏,http://detail.zol.com.cn/cell_phone/index1432086.shtml,VERTU
1373905,VERTU iVERTU（12GB/512GB/全网通/5G版） ,19800,6.67大尺寸屏幕，4200毫安持久续航，55W闪充，专业4摄,http://detail.zol.com.cn/cell_phone/index1373905.shtml,VERTU
1947078,VERTU METAVERTU2 （12GB/512GB/黑陶黑色碳纤维） ,29800,WEB3第二大脑AI，全网通5G，私人助理,http://detail.zol.com.cn/cell_phone/index1947078.shtml,VERTU
1432265,VERTU METAVERTU 喜马拉雅鳄鱼皮款（18GB/1TB） ,30.08万,Web3.0，6400万超人文主摄，AMOLED曲面屏,http://detail.zol.com.cn/cell_phone/index1432265.shtml,VERTU
1365529,VERTU 经典复刻SIGNATURE（3GB/32GB/全网通） ,10.8万,英伦工艺，进口皮料，蓝宝石屏，精钢/铂金机身,http://detail.zol.com.cn/cell_phone/index1365529.shtml,VERTU
1428066,VERTU VERTU  FOLD3（8GB/256GB） ,42800,4800万像素，OLED折叠屏，高通 骁龙 765,http://detail.zol.com.cn/cell_phone/index1428066.shtml,VERTU
1432162,VERTU METAVERTU 赤焰红高定款（12GB/512GB） ,53800,Web3.0，6400万超人文主摄，AMOLED曲面屏,http://detail.zol.com.cn/cell_phone/index1432162.shtml,VERTU
1373980,VERTU iVERTU（12GB/512GB/全网通/5G版/高定版） ,39800,6.67大尺寸屏幕，4200毫安持久续航，55W闪充，专业4摄,http://detail.zol.com.cn/cell_phone/index1373980.shtml,VERTU
1361256,VERTU Ayxta Fold（8GB/256GB/全网通/5G版/经典老花款） ,29800,0-180°开合，无缝折叠，稀有皮料，私人管家，超清四摄,http://detail.zol.com.cn/cell_phone/index1361256.shtml,VERTU
1947893,VERTU META2 （12GB/512GB/黑陶黑色静谧蓝） ,54800,WEB3第二大脑AI，全网通5G，私人助理,http://detail.zol.com.cn/cell_phone/index1947893.shtml,VERTU
1947894,VERTU META2 （12GB/512GB/黑陶黑色凝脂白） ,54800,WEB3第二大脑AI，全网通5G，私人助理,http://detail.zol.com.cn/cell_phone/index1947894.shtml,VERTU
1235574,VERTU ASTER P（哥特系列/全网通） ,38000,哥特，商务，轻奢,http://detail.zol.com.cn/cell_phone/index1235574.shtml,VERTU
1947892,VERTU META2 （12GB/512GB/黑陶黑色玄铁黑） ,47800,WEB3第二大脑AI，全网通5G，私人助理,http://detail.zol.com.cn/cell_phone/index1947892.shtml,VERTU
1428067,VERTU VERTU  FOLD3喜马拉雅高定版（8GB/256GB ） ,10.98万,4800万像素，OLED折叠屏，高通 骁龙 765,http://detail.zol.com.cn/cell_phone/index1428067.shtml,VERTU
1368302,VERTU Ayxta Fold（12GB/512GB/全网通/5G版/喜马拉雅款） ,10.58万,屏幕类型:折叠屏（4:3，16:9，18:9） 主屏尺寸:7.8英寸 出厂系统内核:Android 主屏分辨率:1920x1440像素 CPU型号:高通 骁龙865 5G网络:移动5G（NR TDD），联通5G（NR TDD），电信5G（NR TDD） 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE,http://detail.zol.com.cn/cell_phone/index1368302.shtml,VERTU
1298097,VERTU VISION（8GB/128GB/全网通/普通版）  ,11079,商务，智能双卡双待，轻奢,http://detail.zol.com.cn/cell_phone/index1298097.shtml,VERTU
1235575,VERTU ASTER P（巴洛克系列/全网通） ,29800,巴洛克，商务，蓝宝石,http://detail.zol.com.cn/cell_phone/index1235575.shtml,VERTU
1314075,VERTU LIFE VISION（8GB/128GB/全网通/经典老花纹款） ,15999,顶级皮革，18K金，经典纹路,http://detail.zol.com.cn/cell_phone/index1314075.shtml,VERTU
1432161,VERTU METAVERTU 玄铁黑高定款（12GB/512GB） ,46800,Web3.0，6400万超人文主摄，AMOLED曲面屏,http://detail.zol.com.cn/cell_phone/index1432161.shtml,VERTU
1432087,VERTU METAVERTU 墨玉黑小牛皮（12GB/512GB） ,23800,Web3.0，6400万超人文主摄，AMOLED曲面屏,http://detail.zol.com.cn/cell_phone/index1432087.shtml,VERTU
1708046,VERTU METAVERTU 黑陶渐变高定款-落日橙（12GB/512GB） ,40800,Web3.0，6400万超人文主摄，AMOLED曲面屏,http://detail.zol.com.cn/cell_phone/index1708046.shtml,VERTU
1432159,VERTU METAVERTU 焦糖棕小牛皮（12GB/512GB） ,23800,Web3.0，6400万超人文主摄，AMOLED曲面屏,http://detail.zol.com.cn/cell_phone/index1432159.shtml,VERTU
1319714,VERTU VISION（8GB/128GB/全网通/蜴蜥皮版） ,15999,屏幕类型:全面屏（19.5:9） 主屏尺寸:6.3英寸 出厂系统内核:Android 9.0 主屏材质:TFT材质 主屏分辨率:2340x1080像素 CPU型号:高通 骁龙 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE,http://detail.zol.com.cn/cell_phone/index1319714.shtml,VERTU
1654135,VERTU METAVERTU 焦糖棕小牛皮（18GB/1TB） ,30800,Web3.0，6400万超人文主摄，AMOLED曲面屏,http://detail.zol.com.cn/cell_phone/index1654135.shtml,VERTU
