id,type,reference_price,descript,url,company
1610856,iQOO Neo9(12GB/256GB) ,2299,第二代骁龙 8，自研电竞芯片 Q1，MX920 索尼大底主摄,http://detail.zol.com.cn/cell_phone/index1610856.shtml,iQOO
1544392,iQOO 12 Pro(16GB/256GB) ,4999,第三代骁龙8，自研电竞芯片 Q1，50W 立式无线充电器,http://detail.zol.com.cn/cell_phone/index1544392.shtml,iQOO
1857501,iQOO Z8x（8GB/128GB） ,1299,6000mAh巨量电池，骁龙6Gen1，护眼LCD屏,http://detail.zol.com.cn/cell_phone/index1857501.shtml,iQOO
1610857,iQOO Neo9 Pro(12GB/256GB) ,2999,天玑 9300 旗舰芯，自研电竞芯片 Q1，IMX920 索尼大底主摄,http://detail.zol.com.cn/cell_phone/index1610857.shtml,iQOO
1857397,iQOO Z8(8GB/256GB) ,1699,天玑8200，120W超快闪充，5000mAh超大电池,http://detail.zol.com.cn/cell_phone/index1857397.shtml,iQOO
1544390,iQOO 12(12GB/256GB) ,3999,第三代骁龙8移动平台，自研电竞芯片Q1，万里追光影像系统,http://detail.zol.com.cn/cell_phone/index1544390.shtml,iQOO
1392799,iQOO 9（12GB/256GB/5G版） ,4199,"E5超视网膜屏，全新一代骁龙8, 120W超快闪充",http://detail.zol.com.cn/cell_phone/index1392799.shtml,iQOO
1460901,iQOO Neo8（12GB/256GB） ,2499,自研芯片 V1+，120W 超快闪充，VC立体散热系统,http://detail.zol.com.cn/cell_phone/index1460901.shtml,iQOO
1460910,iQOO Z7（8GB/128GB） ,1599,120w充电，护眼竞速屏，6400万像素,http://detail.zol.com.cn/cell_phone/index1460910.shtml,iQOO
1432705,iQOO Neo7 SE（8GB/128GB） ,2099,独显芯片Pro+，120W闪充，E5柔性直屏,http://detail.zol.com.cn/cell_phone/index1432705.shtml,iQOO
1505443,iQOO Neo8 Pro（16GB/256GB） ,3299,天玑9200+，自研芯片V1+，120W超快闪充,http://detail.zol.com.cn/cell_phone/index1505443.shtml,iQOO
