id,type,reference_price,descript,url,company
1992906,vivo X Fold3 Pro(16GB/512GB) ,9999,236g机身超轻薄设计，等效5700mAh蓝海电池，超可靠铠羽架构,http://detail.zol.com.cn/cell_phone/index1992906.shtml,vivo
1486867,vivo S17（12GB/256GB） ,2799,5000万广角柔光，智慧柔光环，1.5K超视网膜屏,http://detail.zol.com.cn/cell_phone/index1486867.shtml,vivo
1772541,vivo X Fold3（12GB/256GB） ,6999,219g超轻薄，5500mAh蓝海电池，超可靠铠羽架构,http://detail.zol.com.cn/cell_phone/index1772541.shtml,vivo
1772535,vivo X100（12GB/256GB） ,3999,蔡司APO超级长焦，天玑9300，5400mAh蓝海电池,http://detail.zol.com.cn/cell_phone/index1772535.shtml,vivo
1959978,vivo S18（8GB/256GB） ,2299,"第三代骁龙7,5000mAh,影棚级柔光环",http://detail.zol.com.cn/cell_phone/index1959978.shtml,vivo
1772537,vivo X100 Pro（12GB/256GB） ,4999,蔡司APO超级长焦，蓝晶×天玑9300，自研影像芯片V3,http://detail.zol.com.cn/cell_phone/index1772537.shtml,vivo
1959983,vivo S18 Pro（12GB/256GB） ,3199,"天玑9200+,影棚级柔光环,超薄蓝海电池 ",http://detail.zol.com.cn/cell_phone/index1959983.shtml,vivo
1772539,vivo X100 Pro+ ,0,CPU型号:高通 骁龙8 Gen3 CPU核心数:八核 RAM容量:12GB ROM容量:256GB 电池容量:4700mAh 后置摄像头1 后置摄像头:5000万像素 有线充电:80w,http://detail.zol.com.cn/cell_phone/index1772539.shtml,vivo
1948979,vivo X100（16GB/256GB） ,4299,蔡司APO超级长焦，天玑9300，5400mAh蓝海电池,http://detail.zol.com.cn/cell_phone/index1948979.shtml,vivo
1950436,vivo Y100i（12GB/512GB） ,1599,直角立边，6.78英寸屏幕，120Hz高刷新率,http://detail.zol.com.cn/cell_phone/index1950436.shtml,vivo
1434230,vivo X90（12GB/256GB） ,4499,天玑 9200，自研芯片V2，VCS仿生光谱大底主摄,http://detail.zol.com.cn/cell_phone/index1434230.shtml,vivo
1948986,vivo X100 Pro（16GB/512GB） ,5499,蔡司APO超级长焦，蓝晶×天玑9300，自研影像芯片V3,http://detail.zol.com.cn/cell_phone/index1948986.shtml,vivo
1438320,vivo X Fold2（12GB/256GB） ,8999,120Hz折叠巨幕，120W双芯闪充，第二代骁龙8,http://detail.zol.com.cn/cell_phone/index1438320.shtml,vivo
1966948,vivo S18e(12GB/512GB) ,2299,人像双补光环，超薄直屏，80W充电,http://detail.zol.com.cn/cell_phone/index1966948.shtml,vivo
1392791,vivo X80（12GB/256GB） ,4399,蔡司T*光学镜头，自研影像芯片V1+，4nm旗舰芯片,http://detail.zol.com.cn/cell_phone/index1392791.shtml,vivo
1428480,vivo X90 Pro+（12GB/256GB） ,6499,蔡司一英寸T*主摄，自研芯片V2，100X蔡司超清变焦,http://detail.zol.com.cn/cell_phone/index1428480.shtml,vivo
1342511,vivo X60（8GB/128GB/全网通/5G版） ,2999,蔡司光学镜头，微云台黑光夜视2.0，三星5nm旗舰芯片，双模5G,http://detail.zol.com.cn/cell_phone/index1342511.shtml,vivo
1930410,vivo Y100(8GB/128GB) ,1399,5000mAh电池，6400万OIS光学防抖，44W超快闪充,http://detail.zol.com.cn/cell_phone/index1930410.shtml,vivo
1966881,vivo S18（12GB/512GB） ,2799,"第三代骁龙7,5000mAh,影棚级柔光环",http://detail.zol.com.cn/cell_phone/index1966881.shtml,vivo
1637674,vivo S17（12GB/512GB） ,2999,5000万广角柔光，智慧柔光环，1.5K超视网膜屏,http://detail.zol.com.cn/cell_phone/index1637674.shtml,vivo
1473778,vivo Y78（8GB/128GB） ,1399,原色护眼屏，天玑7020，5000万主摄,http://detail.zol.com.cn/cell_phone/index1473778.shtml,vivo
1402543,vivo S15（8GB/128GB） ,2599,高通骁龙870，超感光影像系统，电影感人像大片,http://detail.zol.com.cn/cell_phone/index1402543.shtml,vivo
1473779,vivo Y78+（8GB/128GB） ,1799,120Hz，OLED曲屏，5000万OIS光学防抖，5000mAh,http://detail.zol.com.cn/cell_phone/index1473779.shtml,vivo
1436800,vivo X Flip（12GB/256GB） ,5999,魔镜大外屏，悬停蔡司影像，骁龙8+芯片,http://detail.zol.com.cn/cell_phone/index1436800.shtml,vivo
1948987,vivo X100 Pro（16GB/1TB） ,5999,蔡司APO超级长焦，蓝晶×天玑9300，自研影像芯片V3,http://detail.zol.com.cn/cell_phone/index1948987.shtml,vivo
1429771,vivo S16（8GB/128GB） ,2499,骁龙870，前置5000，66W闪充,http://detail.zol.com.cn/cell_phone/index1429771.shtml,vivo
1505454,vivo X90s（8GB/256GB） ,3999,天玑9200+，自研影像芯片V2，VCS仿生光谱大底主摄,http://detail.zol.com.cn/cell_phone/index1505454.shtml,vivo
1486869,vivo S17 Pro（8GB/256GB） ,3099,5000万广角柔光，专业长焦人像镜头，天玑8200旗舰芯片,http://detail.zol.com.cn/cell_phone/index1486869.shtml,vivo
1970828,vivo X100s ,0,,http://detail.zol.com.cn/cell_phone/index1970828.shtml,vivo
1935477,vivo Y78t 8GB+256GB ,1299,第一代骁龙6，6000mAh大电池，5000万超清影像,http://detail.zol.com.cn/cell_phone/index1935477.shtml,vivo
1333373,vivo S7（8GB/128GB/全网通/5G版） ,2798,前置4400万AF双摄自拍，双模5G，后置6400万超感光夜摄，超级夜景4.0,http://detail.zol.com.cn/cell_phone/index1333373.shtml,vivo
1966880,vivo S18（12GB/256GB） ,2599,"第三代骁龙7,5000mAh,影棚级柔光环",http://detail.zol.com.cn/cell_phone/index1966880.shtml,vivo
1359541,vivo S9（8GB/128GB/全网通/5G版） ,2599,约7.35mm纤薄机身，全球首发天玑1100，双极夜柔光灯,http://detail.zol.com.cn/cell_phone/index1359541.shtml,vivo
1966886,vivo S18 Pro（16GB/512GB） ,3699,"天玑9200+,影棚级柔光环,超薄蓝海电池 ",http://detail.zol.com.cn/cell_phone/index1966886.shtml,vivo
1948980,vivo X100（16GB/512GB） ,4599,蔡司APO超级长焦，天玑9300，5400mAh蓝海电池,http://detail.zol.com.cn/cell_phone/index1948980.shtml,vivo
1342813,vivo X60 Pro（12GB/256GB/全网通/5G版） ,4198,蔡司光学镜头，超稳微云台四摄，三星5nm旗舰芯片，双模5G,http://detail.zol.com.cn/cell_phone/index1342813.shtml,vivo
1322836,vivo X50（8GB/128GB/全网通/5G版） ,3298,超感光夜摄，超稳运动拍摄，定制IMX598传感器，90Hz高刷新率，180Hz高采样率屏幕，超薄柔性屏,http://detail.zol.com.cn/cell_phone/index1322836.shtml,vivo
1418991,vivo Y77（12GB/256GB） ,1999,天玑930，120Hz高刷，5000万像素后置,http://detail.zol.com.cn/cell_phone/index1418991.shtml,vivo
1966885,vivo S18 Pro（16GB/256GB） ,3499,"天玑9200+,影棚级柔光环,超薄蓝海电池 ",http://detail.zol.com.cn/cell_phone/index1966885.shtml,vivo
1389267,vivo S12（8GB/256GB/5G版） ,2699,一亿像素，4400万前置，全功能NFC,http://detail.zol.com.cn/cell_phone/index1389267.shtml,vivo
1955896,vivo Y36(6GB/128GB) ,1399,轻薄有实力，5000mAh大电池，200%超级扬声器,http://detail.zol.com.cn/cell_phone/index1955896.shtml,vivo
1355570,vivo X70 Pro（12GB/256GB/全网通/5G版） ,3899,三星Exynos1080处理器，5000万像素微云台主摄，专业影像芯片 V1，全新萤石AG工艺,http://detail.zol.com.cn/cell_phone/index1355570.shtml,vivo
1355569,vivo X70（8GB/256GB/全网通/5G版） ,3299,联发科天玑1200vivo定制处理器，4000万像素微云台主摄，蔡司专业影像，萤石AG工艺,http://detail.zol.com.cn/cell_phone/index1355569.shtml,vivo
1434228,vivo X90 Pro+（12GB/512GB） ,6999,蔡司一英寸T*主摄，自研芯片V2，100X蔡司超清变焦,http://detail.zol.com.cn/cell_phone/index1434228.shtml,vivo
1935476,vivo Y78t 8GB+128GB ,1199,第一代骁龙6，6000mAh大电池，5000万超清影像,http://detail.zol.com.cn/cell_phone/index1935476.shtml,vivo
1637676,vivo S17 Pro（12GB/512GB） ,3499,5000万广角柔光，专业长焦人像镜头，天玑8200旗舰芯片,http://detail.zol.com.cn/cell_phone/index1637676.shtml,vivo
1299595,vivo Y5s（6GB/128GB/全网通） ,1398,AI智慧三摄，18W双引擎闪充，游戏魔盒,http://detail.zol.com.cn/cell_phone/index1299595.shtml,vivo
1373732,vivo S10（8GB/256GB/全网通/5G版） ,2949,联发科天玑1100处理器，前置4400万自然柔光人像，4G内存融合技术，44w闪充,http://detail.zol.com.cn/cell_phone/index1373732.shtml,vivo
1402539,vivo S15e（12GB/256GB） ,2499,纳米丝绒内镀工艺，70万跑分5nm芯片，66W闪充，5000万超质感人像,http://detail.zol.com.cn/cell_phone/index1402539.shtml,vivo
1350608,vivo Y52s（8GB/128GB/全网通/5G版） ,1798,后置4800万双摄，5000mAh电池，90Hz高刷,http://detail.zol.com.cn/cell_phone/index1350608.shtml,vivo
1434231,vivo X90（12GB/512GB） ,4999,天玑 9200，自研芯片V2，VCS仿生光谱大底主摄,http://detail.zol.com.cn/cell_phone/index1434231.shtml,vivo
