id,type,reference_price,descript,url,company
1460949,中兴Axon50 Ultra（12GB/256GB） ,6299,双系统，13根天线，独立安全芯片，柔性曲面屏,http://detail.zol.com.cn/cell_phone/index1460949.shtml,中兴
1369495,中兴AXON 31 Pro（全网通/5G版） ,0,屏幕类型:全面屏（20:9极点屏） 主屏尺寸:6.67英寸 出厂系统内核:Android 11 主屏材质:AMOLED 主屏分辨率:2400x1080像素 HDR技术:HDR 10+ CPU型号:高通 骁龙888,http://detail.zol.com.cn/cell_phone/index1369495.shtml,中兴
1407799,中兴Axon 40 Ultra（12GB/256GB） ,5298,三主摄计算摄影，高通骁龙8，80W快充,http://detail.zol.com.cn/cell_phone/index1407799.shtml,中兴
1511687,中兴畅行 40 SE（4GB/64GB） ,0,CPU型号:紫光展锐 SC9863A CPU核心数:八核 RAM容量:4GB ROM容量:64GB 电池容量:5000mAh 后置摄像头1 后置摄像头:500万像素 有线充电:10w,http://detail.zol.com.cn/cell_phone/index1511687.shtml,中兴
1416931,中兴畅行30 （4GB/64GB） ,798,5000mAh，6.52英寸，指纹解锁,http://detail.zol.com.cn/cell_phone/index1416931.shtml,中兴
1350200,中兴AXON 31（全网通/5G版） ,0,屏幕类型:全面屏 主屏尺寸:6.67英寸 主屏材质:AMOLED CPU型号:高通 骁龙768G 5G网络:移动5G（NR TDD），联通5G（NR TDD），电信5G（NR TDD） 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE SIM卡类型:Nano SIM卡,http://detail.zol.com.cn/cell_phone/index1350200.shtml,中兴
1406889,中兴Axon 40 Pro（8GB/256GB） ,2998,多摄同拍，66W闪电快充，144Hz高刷新率,http://detail.zol.com.cn/cell_phone/index1406889.shtml,中兴
1368590,中兴远航10（4GB/128GB/全网通/5G版） ,1298,90Hz高刷新率大屏，大光圈AI三摄，内存融合技术，FM外放,http://detail.zol.com.cn/cell_phone/index1368590.shtml,中兴
1358222,中兴AXON 30 Pro（8GB/128GB/全网通/5G版） ,3298,高通骁龙888，多摄同拍同录，三重VC液冷散热，多功能NFC,http://detail.zol.com.cn/cell_phone/index1358222.shtml,中兴
1377113,中兴AXON 30（8GB/256GB/全网通/5G版） ,2798,高通骁龙870处理器，120Hz OLED显示屏，全新一代屏下摄像，三重VC液冷,http://detail.zol.com.cn/cell_phone/index1377113.shtml,中兴
1424707,中兴远航30S（4GB/128GB） ,1199,1300万三摄，6.52英寸屏幕，简易桌面,http://detail.zol.com.cn/cell_phone/index1424707.shtml,中兴
1430949,中兴远航40（4GB/64GB） ,899,4000mAh，超级音量，1300万像素,http://detail.zol.com.cn/cell_phone/index1430949.shtml,中兴
1407800,中兴Axon 40 Ultra（12GB/512GB） ,5798,三主摄计算摄影，高通骁龙8，80W快充,http://detail.zol.com.cn/cell_phone/index1407800.shtml,中兴
1315994,中兴AXON 11（8GB/128GB/全网通/5G） ,2688,5G双模，双曲面屏，视频防抖，6400万四摄,http://detail.zol.com.cn/cell_phone/index1315994.shtml,中兴
1315093,中兴AXON 11（6GB/128GB/全网通/5G） ,2599,5G双模，双曲面屏，视频防抖，6400万四摄,http://detail.zol.com.cn/cell_phone/index1315093.shtml,中兴
1480300,中兴远航41（4GB/64GB） ,0,CPU型号:紫光展锐 T760 CPU核心数:八核 RAM容量:4GB ROM容量:64GB 电池容量:5000mAh 后置摄像头1 后置摄像头:1300万像素 前置摄像头1 前置摄像头:500万像素,http://detail.zol.com.cn/cell_phone/index1480300.shtml,中兴
1837859,中兴小鲜50（4GB+128GB） ,699,,http://detail.zol.com.cn/cell_phone/index1837859.shtml,中兴
1428711,中兴Axon 30S（8GB/128GB） ,1698,120HZ，55W快充，骁龙870,http://detail.zol.com.cn/cell_phone/index1428711.shtml,中兴
1406277,中兴Axon 40 Ultra（8GB/256GB） ,4998,三主摄计算摄影，高通骁龙8，80W快充,http://detail.zol.com.cn/cell_phone/index1406277.shtml,中兴
1430947,中兴远航 40 Pro ,0,CPU型号:联发科 天玑810 CPU核心数:八核 RAM容量:8GB ROM容量:128GB 电池容量:6000mAh 后置摄像头1 后置摄像头:4800万像素 有线充电:22.5w,http://detail.zol.com.cn/cell_phone/index1430947.shtml,中兴
1395007,中兴远航20 Pro（8GB/256GB/全网通/5G版） ,2198,66W的超快闪充，天玑720，超级天线3.0,http://detail.zol.com.cn/cell_phone/index1395007.shtml,中兴
1364980,中兴S30 SE（6GB/128GB/全网通/5G版） ,1698,6000毫安大电池，高性价比，打孔屏,http://detail.zol.com.cn/cell_phone/index1364980.shtml,中兴
1407806,中兴Axon 40 Pro（12GB/512GB） ,3798,多摄同拍，66W闪电快充，144Hz高刷新率,http://detail.zol.com.cn/cell_phone/index1407806.shtml,中兴
1366277,中兴AXON 30 Ultra（12GB/256GB/全网通/5G版） ,4998,高通骁龙888，三摄同拍同录，三重VC液冷散热，斯坦尼康级防抖,http://detail.zol.com.cn/cell_phone/index1366277.shtml,中兴
1424708,中兴远航30S（6GB/128GB） ,1399,1300万三摄，6.52英寸屏幕，简易桌面,http://detail.zol.com.cn/cell_phone/index1424708.shtml,中兴
1405451,中兴远航30 Pro（8GB/128GB） ,1698,屏幕尺寸:6.67英寸 屏幕材质:LCD 分辨率:2400x1080像素 屏幕类型:全面屏（中置挖孔屏） CPU型号:联发科 天玑810 CPU核心数:八核 RAM容量:8GB,http://detail.zol.com.cn/cell_phone/index1405451.shtml,中兴
1430951,中兴远航40 Pro+（8GB/256GB） ,2198,7.6mm超薄机身，66W闪电快充，6400万超清三摄,http://detail.zol.com.cn/cell_phone/index1430951.shtml,中兴
1338108,中兴AXON 20（8GB/128GB/全网通/5G版） ,2498,屏下摄像头，轻薄OLED屏，6400万四摄，VLGO影像日记,http://detail.zol.com.cn/cell_phone/index1338108.shtml,中兴
1362813,中兴S30 Pro（8GB/256GB/全网通/5G版） ,2998,6400万四摄，144HZ，AMOLED屏，双模全网通,http://detail.zol.com.cn/cell_phone/index1362813.shtml,中兴
1465646,中兴天机 A41 Ultra（8GB/256GB） ,0,独立安全芯片，骁龙8 Gen1，人文影像系统,http://detail.zol.com.cn/cell_phone/index1465646.shtml,中兴
1409013,中兴天机 A41（8GB/128GB） ,4399,高通骁龙870处理器，5000毫安大容量电池，66w快充,http://detail.zol.com.cn/cell_phone/index1409013.shtml,中兴
1405873,中兴远航30（6GB/128GB） ,1599,高刷真彩屏，超稳信号，多功能三摄,http://detail.zol.com.cn/cell_phone/index1405873.shtml,中兴
1335201,中兴AXON 20（6GB/128GB/全网通/5G版） ,2198,屏下摄像头，轻薄OLED屏，6400万四摄，VLGO影像日记,http://detail.zol.com.cn/cell_phone/index1335201.shtml,中兴
1775422,中兴Axon50 Ultra（12GB/512GB） ,6799,双系统，13根天线，独立安全芯片，柔性曲面屏,http://detail.zol.com.cn/cell_phone/index1775422.shtml,中兴
1405468,中兴远航30（4GB/128GB） ,1399,高刷真彩屏，超稳信号，多功能三摄,http://detail.zol.com.cn/cell_phone/index1405468.shtml,中兴
1363367,中兴S30（8GB/128GB/全网通/5G版） ,2198,90Hz高刷屏，超强影像系统，4K超高清视频拍摄,http://detail.zol.com.cn/cell_phone/index1363367.shtml,中兴
1838286,中兴小鲜50 （6GB+128GB） ,799,,http://detail.zol.com.cn/cell_phone/index1838286.shtml,中兴
1297045,中兴Blade 20 Smart（4GB/128GB/全网通） ,699,远程协助，SOS一键求助，亲情提醒，实时定位,http://detail.zol.com.cn/cell_phone/index1297045.shtml,中兴
1325161,中兴AXON 11 SE（6GB/128GB/全网通/5G版） ,1998,视频双路防抖，双模5G，4800万像素四摄,http://detail.zol.com.cn/cell_phone/index1325161.shtml,中兴
1480303,中兴远航41（6GB/128GB） ,0,,http://detail.zol.com.cn/cell_phone/index1480303.shtml,中兴
1372586,中兴Blade V2022（4GB/64GB/全网通） ,849,6.82英寸高清大内存，5000mAh大电池，1600万AI三摄,http://detail.zol.com.cn/cell_phone/index1372586.shtml,中兴
1407801,中兴Axon 40 Ultra（16GB/1TB） ,7298,三主摄计算摄影，高通骁龙8，80W快充,http://detail.zol.com.cn/cell_phone/index1407801.shtml,中兴
1405833,中兴远航30 Pro畅行版（8GB/256GB） ,1998,屏幕尺寸:6.67英寸 屏幕材质:LCD 分辨率:2400x1080像素 屏幕类型:全面屏（中置挖孔屏） CPU型号:联发科 天玑810 CPU核心数:八核 RAM容量:8GB,http://detail.zol.com.cn/cell_phone/index1405833.shtml,中兴
1433245,中兴Axon 40 Ultra 航天版（18GB/1TB） ,7698,三主摄计算摄影，高通骁龙8，80W快充,http://detail.zol.com.cn/cell_phone/index1433245.shtml,中兴
1429145,中兴Axon 30S（12GB/256GB） ,2198,120HZ，55W快充，骁龙870,http://detail.zol.com.cn/cell_phone/index1429145.shtml,中兴
1465668,中兴天机 A41 Ultra 至尊版（12GB/256GB） ,0,独立安全芯片，屏下摄像，80w快充,http://detail.zol.com.cn/cell_phone/index1465668.shtml,中兴
1295303,中兴Blade 20（6GB/128GB/全网通/5G版） ,985,4000mAh大电池，三重液冷散热，120°超广角拍摄,http://detail.zol.com.cn/cell_phone/index1295303.shtml,中兴
1465670,中兴天机 A41 Ultra 至尊版（16GB/1TB） ,0,独立安全芯片，屏下摄像，80w快充,http://detail.zol.com.cn/cell_phone/index1465670.shtml,中兴
1402173,中兴AXON 40 ,0,屏幕尺寸:6.67英寸 屏幕材质:AMOLED 分辨率:2400x1080像素 像素密度:395ppi 屏幕类型:全面屏（中置挖孔屏），曲面屏 HDR技术:HDR 10+ CPU型号:高通 骁龙870,http://detail.zol.com.cn/cell_phone/index1402173.shtml,中兴
1394934,中兴AXON 30 Ultra 航天版（18GB/1TB/全网通/5G版） ,6998,6400万高能三主摄，144HZ曲面屏，骁龙888,http://detail.zol.com.cn/cell_phone/index1394934.shtml,中兴
1465670,中兴天机 A41 Ultra 至尊版（16GB/1TB） ,0,独立安全芯片，屏下摄像，80w快充,http://detail.zol.com.cn/cell_phone/index1465670.shtml,中兴
1390080,中兴AXON 30（8GB/512GB/全网通/5G版） ,3498,主屏尺寸:6.92英寸 屏幕类型:全面屏（屏下式） 主屏材质:OLED 出厂系统内核:Android 11 主屏分辨率:2460x1080像素 屏幕像素密度:400ppi HDR技术:HDR 10+,http://detail.zol.com.cn/cell_phone/index1390080.shtml,中兴
1350221,中兴Blade V2020（6GB/128GB/全网通/5G版） ,1389,天玑800，幻彩机身，3.5mm小孔径,http://detail.zol.com.cn/cell_phone/index1350221.shtml,中兴
1380252,中兴AXON 30（6GB/128GB/全网通/5G版） ,2198,高通骁龙870处理器，120Hz OLED显示屏，全新一代屏下摄像，三重VC液冷,http://detail.zol.com.cn/cell_phone/index1380252.shtml,中兴
1315993,中兴AXON 11（8GB/256GB/全网通/5G） ,3399,5G双模，双曲面屏，视频防抖，6400万四摄,http://detail.zol.com.cn/cell_phone/index1315993.shtml,中兴
1407805,中兴Axon 40 Pro（12GB/256GB） ,3299,多摄同拍，66W闪电快充，144Hz高刷新率,http://detail.zol.com.cn/cell_phone/index1407805.shtml,中兴
1434820,中兴Axon 40 Ultra 航天版（12GB/512GB） ,5898,三主摄计算摄影，高通骁龙8，80W快充,http://detail.zol.com.cn/cell_phone/index1434820.shtml,中兴
1405471,中兴远航30 Pro+（8GB/256GB） ,2198,66w超级闪充，5100mAh超大电池，全功能NFC,http://detail.zol.com.cn/cell_phone/index1405471.shtml,中兴
1380253,中兴AXON 30（12GB/256GB/全网通/5G版） ,2998,高通骁龙870处理器，120Hz OLED显示屏，全新一代屏下摄像，三重VC液冷,http://detail.zol.com.cn/cell_phone/index1380253.shtml,中兴
1465647,中兴天机 A41 Ultra（12GB/256GB） ,0,独立安全芯片，骁龙8 Gen1，人文影像系统,http://detail.zol.com.cn/cell_phone/index1465647.shtml,中兴
1350195,中兴Blade V2021（4GB/64GB/全网通/5G版） ,999,高清三摄，远程控制，在线问诊，长辈亲情互联,http://detail.zol.com.cn/cell_phone/index1350195.shtml,中兴
1375865,中兴AXON 30 Pro（16GB/1TB/全网通/5G版） ,5566,高通骁龙888，多摄同拍同录，三重VC液冷散热，多功能NFC,http://detail.zol.com.cn/cell_phone/index1375865.shtml,中兴
1367137,中兴AXON 30 Pro（8GB/256GB/全网通/5G版） ,3598,高通骁龙888，多摄同拍同录，三重VC液冷散热，多功能NFC,http://detail.zol.com.cn/cell_phone/index1367137.shtml,中兴
1430947,中兴远航 40 Pro ,0,CPU型号:联发科 天玑810 CPU核心数:八核 RAM容量:8GB ROM容量:128GB 电池容量:6000mAh 后置摄像头1 后置摄像头:4800万像素 有线充电:22.5w,http://detail.zol.com.cn/cell_phone/index1430947.shtml,中兴
1348897,中兴Blade 20 Pro（8GB/128GB/全网通/5G版） ,2798,6400万像素超高清四摄，7.9mm机身，92%屏占比,http://detail.zol.com.cn/cell_phone/index1348897.shtml,中兴
1338108,中兴AXON 20（8GB/128GB/全网通/5G版） ,2498,屏下摄像头，轻薄OLED屏，6400万四摄，VLGO影像日记,http://detail.zol.com.cn/cell_phone/index1338108.shtml,中兴
1325827,中兴AXON 11 SE（8GB/128GB/全网通/5G版） ,2299,视频双路防抖，双模5G，4800万像素四摄,http://detail.zol.com.cn/cell_phone/index1325827.shtml,中兴
1369496,中兴AXON 31 Ultra（全网通/5G版） ,0,屏幕类型:全面屏（20:9极点屏） 主屏尺寸:6.67英寸 出厂系统内核:Android 11 主屏材质:AMOLED 主屏分辨率:2400x1080像素 HDR技术:HDR 10+ CPU型号:高通 骁龙888,http://detail.zol.com.cn/cell_phone/index1369496.shtml,中兴
1553919,中兴远航40（6GB/128GB） ,1099,4000mAh，超级音量，1300万像素,http://detail.zol.com.cn/cell_phone/index1553919.shtml,中兴
1409014,中兴天机 A41（8GB/256GB） ,4699,高通骁龙870处理器，5000毫安大容量电池，66w快充,http://detail.zol.com.cn/cell_phone/index1409014.shtml,中兴
1349979,中兴Blade V2021（6GB/128GB/全网通/5G版） ,1399,4800万高清三摄，远程控制，在线问诊，长辈亲情互联,http://detail.zol.com.cn/cell_phone/index1349979.shtml,中兴
1367139,中兴AXON 30 Ultra（16GB/1TB/全网通/5G版） ,6666,高通骁龙888，三摄同拍同录，三重VC液冷散热，斯坦尼康级防抖,http://detail.zol.com.cn/cell_phone/index1367139.shtml,中兴
1325828,中兴AXON 11 SE（8GB/256GB/全网通/5G版） ,2598,视频双路防抖，双模5G，4800万像素四摄,http://detail.zol.com.cn/cell_phone/index1325828.shtml,中兴
1364999,中兴S30（8GB/256GB/全网通/5G版） ,2398,90Hz高刷屏，超强影像系统,http://detail.zol.com.cn/cell_phone/index1364999.shtml,中兴
1348579,中兴AXON 20（12GB/256GB/全网通/5G版/至尊版） ,3498,屏下摄像头，轻薄OLED屏，6400万四摄,http://detail.zol.com.cn/cell_phone/index1348579.shtml,中兴
1480301,中兴远航41（4GB/128GB） ,0,,http://detail.zol.com.cn/cell_phone/index1480301.shtml,中兴
1460950,中兴Axon 50 Pro ,0,CPU型号:高通 骁龙870 CPU核心数:八核 RAM容量:8GB ROM容量:256GB 电池容量:5000mAh 后置摄像头1 后置摄像头:10800万像素 有线充电:66w,http://detail.zol.com.cn/cell_phone/index1460950.shtml,中兴
1367138,中兴AXON 30 Ultra（8GB/256GB/全网通/5G版） ,4698,高通骁龙888，三摄同拍同录，三重VC液冷散热，斯坦尼康级防抖,http://detail.zol.com.cn/cell_phone/index1367138.shtml,中兴
1367136,中兴AXON 30 Pro（6GB/128GB/全网通/5G版） ,2998,高通骁龙888，多摄同拍同录，三重VC液冷散热，多功能NFC,http://detail.zol.com.cn/cell_phone/index1367136.shtml,中兴
