id,type,reference_price,descript,url,company
1351474,KRETA V11V（12GB/512GB/全网通/5G版/小牛皮版） ,19999,折叠屏，小牛皮，蓝宝石盖板，骁龙865,http://detail.zol.com.cn/cell_phone/index1351474.shtml,克里特
1409213,克里特V200（8GB/256GB） ,16800,隐私加密系统，全网通双卡双待，航宇级金属,http://detail.zol.com.cn/cell_phone/index1409213.shtml,克里特
1409211,克里特ONE Plus（8GB/256GB） ,19900,航宇级金属，面容ID解锁，4850mAh电池,http://detail.zol.com.cn/cell_phone/index1409211.shtml,克里特
1505625,克里特M9（8GB/256GB） ,8999,高清双屏，4800万像素，6.52英寸屏幕,http://detail.zol.com.cn/cell_phone/index1505625.shtml,克里特
1782442,克里特兰博基尼传奇Legend钻石版（12GB/256GB） ,19999,远程防盗，进口小牛皮，后置4800万像素,http://detail.zol.com.cn/cell_phone/index1782442.shtml,克里特
1343085,KRETA M7（8GB/256GB/全网通） ,9999,北斗定位，私人助理，超长待机,http://detail.zol.com.cn/cell_phone/index1343085.shtml,克里特
1396960,克里特Zeus1（6GB/256GB） ,4488,屏幕尺寸:5.99英寸 屏幕材质:LCD 分辨率:2246x1080像素 屏幕类型:全面屏 CPU型号:联发科 Helio P70 CPU核心数:八核 RAM容量:6GB,http://detail.zol.com.cn/cell_phone/index1396960.shtml,克里特
1356730,KRETA W2021（8GB/256GB/全网通） ,10999,7.2英寸全面屏，北斗芯片，6000mAh电池,http://detail.zol.com.cn/cell_phone/index1356730.shtml,克里特
1307795,KRETA G25（8GB/128GB/全网通） ,4999,液体金属边框，意大利头层小牛皮，AI遥感双摄,http://detail.zol.com.cn/cell_phone/index1307795.shtml,克里特
1351476,KRETA V11V（12GB/512GB/全网通/5G版/鳄皮版） ,29999,折叠屏，鳄鱼皮，蓝宝石盖板，骁龙865,http://detail.zol.com.cn/cell_phone/index1351476.shtml,克里特
1397176,克里特Zeus3（6GB/256GB） ,9999,屏幕尺寸:5.99英寸 屏幕材质:LCD 分辨率:2246x1080像素 屏幕类型:全面屏 CPU型号:联发科 Helio P70 CPU核心数:八核 RAM容量:6GB,http://detail.zol.com.cn/cell_phone/index1397176.shtml,克里特
1396970,克里特Mycenae3 Pro Max（8GB/256GB） ,2288,屏幕尺寸:6.5英寸 屏幕材质:LCD 分辨率:2244x1080像素 屏幕类型:全面屏（水滴屏） CPU型号:联发科 Helio P70 CPU核心数:八核 RAM容量:8GB,http://detail.zol.com.cn/cell_phone/index1396970.shtml,克里特
1553892,克里特宙斯盖拉多（12GB/256GB） ,5999,,http://detail.zol.com.cn/cell_phone/index1553892.shtml,克里特
1206035,KRETA one珍藏版（全网通） ,39800,主屏尺寸:5.2英寸 出厂系统内核:Android 7.0（双系统） 主屏分辨率:1920x1080像素 屏幕像素密度:424ppi CPU型号:高通 骁龙835（MSM8998） 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE SIM卡类型:双卡,http://detail.zol.com.cn/cell_phone/index1206035.shtml,克里特
1212432,KRETA one（全网通） ,8999,主屏尺寸:5.2英寸 出厂系统内核:Android 7.0（双系统） 主屏分辨率:1920x1080像素 屏幕像素密度:424ppi CPU型号:高通 骁龙835（MSM8998） 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE SIM卡类型:双卡,http://detail.zol.com.cn/cell_phone/index1212432.shtml,克里特
