id,type,reference_price,descript,url,company
1427336,HUAWEI Mate 60（12GB/256GB） ,5499,双向北斗卫星消息，超可靠玄武架构，全焦段超清影像,http://detail.zol.com.cn/cell_phone/index1427336.shtml,华为
1427338,HUAWEI Mate 60 Pro（12GB/256GB） ,6499,卫星通话，超可靠玄武架构，全焦段超清影像,http://detail.zol.com.cn/cell_phone/index1427338.shtml,华为
1355562,HUAWEI P60（8GB+256GB） ,4988,超聚光XMAGE影像，双向北斗卫星消息，鸿蒙系统3.1,http://detail.zol.com.cn/cell_phone/index1355562.shtml,华为
1955909,华为nova 12 256GB ,2999,鸿蒙智慧通信，100W智能快充Turbo，前置6000万,http://detail.zol.com.cn/cell_phone/index1955909.shtml,华为
1857454,HUAWEI Mate 60 Pro（12GB/512GB） ,6999,卫星通话，超可靠玄武架构，全焦段超清影像,http://detail.zol.com.cn/cell_phone/index1857454.shtml,华为
1972397,华为畅享 70 Pro 256GB ,1649,1亿像素超清影像，40W超级快充，5000mAh大电池,http://detail.zol.com.cn/cell_phone/index1972397.shtml,华为
1857626,华为Mate X5 （12GB/256GB） ,13999,CPU型号:高通 骁龙8+ 4G CPU核心数:八核 RAM容量:12GB ROM容量:256GB 电池容量:5060mAh 后置摄像头1 后置摄像头:5000万像素 有线充电:66w,http://detail.zol.com.cn/cell_phone/index1857626.shtml,华为
1969404,华为nova 12 Pro 256GB ,3999,前置6000万人像追焦双摄，鸿蒙智慧通信，HarmonyOS,http://detail.zol.com.cn/cell_phone/index1969404.shtml,华为
1972399,华为畅享 70  128GB ,1199,6000mAh超长续航，畅享X键 一键畅享，5000万像素高清摄影,http://detail.zol.com.cn/cell_phone/index1972399.shtml,华为
1355563,HUAWEI P60 Pro（8GB+256GB） ,6988,超聚光夜视长焦，昆仑玻璃，双向北斗卫星消息 ,http://detail.zol.com.cn/cell_phone/index1355563.shtml,华为
1986304,华为P70 ,0,,http://detail.zol.com.cn/cell_phone/index1986304.shtml,华为
1505460,华为畅享 60X（8GB/128GB） ,1799,7000mAh长续航，6.95英寸影音大屏，澎湃音质,http://detail.zol.com.cn/cell_phone/index1505460.shtml,华为
1951375,华为Mate 70 ,0,,http://detail.zol.com.cn/cell_phone/index1951375.shtml,华为
1337287,华为Mate40 Pro（8GB/256GB/全网通/5G版/玻璃版） ,6999,麒麟9000，88°超曲环幕屏，66W快充，50W无线快充，IP68级防水防尘，3D人脸识别,http://detail.zol.com.cn/cell_phone/index1337287.shtml,华为
1960083,华为nova 12 Ultra 512GB ,4699,动态臻彩屏，100W智能快充，HarmonyOS,http://detail.zol.com.cn/cell_phone/index1960083.shtml,华为
1981924,华为Pocket 2(12GB/256GB) ,7499,超平整超可靠，全焦段XMAGE四摄，紫外防晒检测,http://detail.zol.com.cn/cell_phone/index1981924.shtml,华为
1857506,华为Mate 60 Pro+（16GB/512GB） ,8999,双卫星通信，丹青弧时代之作，超可靠玄武架构,http://detail.zol.com.cn/cell_phone/index1857506.shtml,华为
1494687,华为nova 11 SE（256GB） ,1999,3200万高清自拍，一亿像素光影人像，HarmonyOS 4,http://detail.zol.com.cn/cell_phone/index1494687.shtml,华为
1315874,华为P40 Pro（8GB/128GB/全网通/5G版） ,5988,徕卡四摄，麒麟990 5G，40W快充,http://detail.zol.com.cn/cell_phone/index1315874.shtml,华为
1238183,华为Mate30（8GB/128GB/全网通/5G版/玻璃版） ,4499,IP53防水防尘，磁悬浮发声技术，4000万超感光徕卡影像，OLED全面屏,http://detail.zol.com.cn/cell_phone/index1238183.shtml,华为
1969407,华为nova 12 活力版 256GB ,2499, 鸿蒙智能，6.88mm超薄，前置6000万,http://detail.zol.com.cn/cell_phone/index1969407.shtml,华为
1857460,HUAWEI Mate 60（12GB/512GB） ,5999,双向北斗卫星消息，超可靠玄武架构，全焦段超清影像,http://detail.zol.com.cn/cell_phone/index1857460.shtml,华为
1326272,华为Mate40（8GB/128GB/全网通/5G版/玻璃版） ,4999,90Hz刷新率，240Hz触控采样率，68°曲面屏，麒麟9000E,http://detail.zol.com.cn/cell_phone/index1326272.shtml,华为
1494683,HUAWEI nova 11（8GB/128GB） ,2499,6000万超广角人像，6.88毫米超薄臻彩直屏，屏幕指纹,http://detail.zol.com.cn/cell_phone/index1494683.shtml,华为
1344163,HUAWEI Mate50（8GB+128GB） ,4999,超光变XMAGE影像，6.7英寸，鸿蒙操作系统3.0,http://detail.zol.com.cn/cell_phone/index1344163.shtml,华为
1265181,华为Mate30 Pro（8GB/256GB/全网通/5G版/玻璃版） ,6399,双4000万徕卡电影四摄，超曲面OLED环幕屏,http://detail.zol.com.cn/cell_phone/index1265181.shtml,华为
1857455,HUAWEI Mate 60 Pro（12GB/1TB） ,7999,卫星通话，超可靠玄武架构，全焦段超清影像,http://detail.zol.com.cn/cell_phone/index1857455.shtml,华为
1315404,华为nova 7（8GB/128GB/5G版/全网通） ,2999,OLED极点全面屏，全网通5G，麒麟985,http://detail.zol.com.cn/cell_phone/index1315404.shtml,华为
1349131,华为P50 Pro（8GB/256GB/全网通/麒麟9000） ,6488,万象双环设计，120Hz OLED显示屏，IP68防尘防水，鸿蒙2.0系统,http://detail.zol.com.cn/cell_phone/index1349131.shtml,华为
1344847,HUAWEI Mate50 Pro（8GB+256GB） ,6799,鸿蒙系统3.0，IP68等级防尘防水，XMAGE影像,http://detail.zol.com.cn/cell_phone/index1344847.shtml,华为
1291831,华为P40（6GB/128GB/全网通/5G版） ,4188,徕卡三摄，麒麟990 5G，WiFi 6,http://detail.zol.com.cn/cell_phone/index1291831.shtml,华为
