id,type,reference_price,descript,url,company
1511397,华硕Zenfone 10（8GB+128GB） ,5699,5.9英寸小屏，高通骁龙 8 Gen 2 移动平台，15W无线充电,http://detail.zol.com.cn/cell_phone/index1511397.shtml,华硕
1982655,华硕Zenfone 11 Ultra ,0,,http://detail.zol.com.cn/cell_phone/index1982655.shtml,华硕
1363551,华硕ZenFone 8（全网通/5G版） ,0,高通骁龙888处理器，120Hz OLED显示屏，IP68防尘防水，原生安卓系统,http://detail.zol.com.cn/cell_phone/index1363551.shtml,华硕
1794051,华硕Zenfone 10（16GB/512GB） ,7599,5.9英寸小屏，高通骁龙 8 Gen 2 移动平台，15W无线充电,http://detail.zol.com.cn/cell_phone/index1794051.shtml,华硕
1419998,华硕ZenFone 9（8GB/128GB） ,0,第一代骁龙8+，后置双摄，云台防抖,http://detail.zol.com.cn/cell_phone/index1419998.shtml,华硕
1794050,华硕Zenfone 10（8GB/256GB） ,6399,5.9英寸小屏，高通骁龙 8 Gen 2 移动平台，15W无线充电,http://detail.zol.com.cn/cell_phone/index1794050.shtml,华硕
1363548,华硕ZenFone 8 Flip（全网通/5G版） ,0,屏幕类型:全面屏（20:9极点屏） 主屏尺寸:6.67英寸 出厂系统内核:Android 11 主屏材质:OLED 主屏分辨率:2400x1080像素 CPU型号:高通 骁龙888 5G网络:移动5G（NR TDD），联通5G（NR TDD），电信5G（NR TDD）,http://detail.zol.com.cn/cell_phone/index1363548.shtml,华硕
1423543,华硕ZenFone 9（16GB/256GB） ,0,第一代骁龙8+，后置双摄，云台防抖,http://detail.zol.com.cn/cell_phone/index1423543.shtml,华硕
1423542,华硕ZenFone 9（8GB/256GB） ,0,第一代骁龙8+，后置双摄，云台防抖,http://detail.zol.com.cn/cell_phone/index1423542.shtml,华硕
1359445,华硕ZenFone Mini（全网通） ,0,主屏尺寸:0英寸 屏幕类型:全面屏 出厂系统内核:Android 10 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE SIM卡类型:双Nano SIM卡 核心数:八核 RAM容量:8GB,http://detail.zol.com.cn/cell_phone/index1359445.shtml,华硕
1184213,华硕ZenFone 4 Selfie Lite（全网通） ,暂无报价,主屏尺寸:5.5英寸 主屏分辨率:1280x720像素 屏幕像素密度:267ppi 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 操作系统:Android N 核心数:四核 CPU型号:高通 骁龙425（MSM8917）,http://detail.zol.com.cn/cell_phone/index1184213.shtml,华硕
1263464,华硕ZenFone Shot（全网通） ,暂无报价,主屏尺寸:6.26英寸 系统内核:Android 8.0 主屏分辨率:2246x1080像素 屏幕像素密度:398ppi CPU型号:高通 骁龙SiP 1 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 其他屏幕参数:全面屏,http://detail.zol.com.cn/cell_phone/index1263464.shtml,华硕
1337228,华硕ZenFone 7 Pro（8GB/256GB/全网通/5G版） ,6600,180°翻转摄像头，双扬声器，90Hz刷新率，光学防抖,http://detail.zol.com.cn/cell_phone/index1337228.shtml,华硕
392241,华硕ZenFone 5 Lite（全网通） ,暂无报价,主屏尺寸:6英寸 操作系统:Android 8.0 主屏分辨率:2160x1080像素 屏幕像素密度:402ppi 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 其他屏幕参数:全面屏 SIM卡类型:双卡,http://detail.zol.com.cn/cell_phone/index392241.shtml,华硕
1265080,华硕ZenFone Max Shot（全网通） ,暂无报价,主屏尺寸:6.26英寸 出厂系统内核:Android 8.0 主屏分辨率:2340x1080像素 屏幕像素密度:430ppi CPU型号:高通 骁龙660 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 其他屏幕参数:全面屏,http://detail.zol.com.cn/cell_phone/index1265080.shtml,华硕
1266564,华硕滑盖手机 ,暂无报价,主屏尺寸:5.6英寸 出厂系统内核:Android 屏幕像素密度:430ppi CPU型号:高通 骁龙855 5G网络:移动5G（NR TDD），联通5G（NR TDD），电信 5G（NR TDD） 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 其他屏幕参数:全面屏,http://detail.zol.com.cn/cell_phone/index1266564.shtml,华硕
1208636,华硕2018版ZenFone Max（全网通） ,暂无报价,主屏尺寸:5.5英寸 主屏材质:IPS 主屏分辨率:1280x720像素 屏幕像素密度:267ppi 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE CPU型号:高通 骁龙425（MSM8917） RAM容量:3GB,http://detail.zol.com.cn/cell_phone/index1208636.shtml,华硕
1238177,华硕ZenFone 6z（全网通） ,暂无报价,屏幕类型:全面屏（19.5:9） 主屏尺寸:6.4英寸 出厂系统内核:Android 主屏分辨率:2340x1080像素 屏幕像素密度:402ppi 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 核心数:八核,http://detail.zol.com.cn/cell_phone/index1238177.shtml,华硕
1240363,华硕ZenFone Max M2（全网通） ,暂无报价,主屏尺寸:6英寸 操作系统:Android 8.0 主屏分辨率:2340x1080像素 屏幕像素密度:430ppi 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 其他屏幕参数:全面屏 SIM卡类型:双卡,http://detail.zol.com.cn/cell_phone/index1240363.shtml,华硕
173975,华硕Eee Phone ,0,外观设计:直板,http://detail.zol.com.cn/cell_phone/index173975.shtml,华硕
381665,华硕ZenFone 5（A501CG/2GB RAM/联通3G） ,999,主屏尺寸:5英寸 主屏材质:TFT材质（IPS技术） 主屏分辨率:1280x720像素 屏幕像素密度:294ppi 网络类型:双卡 操作系统:Android OS 4.3 核心数:双核,http://detail.zol.com.cn/cell_phone/index381665.shtml,华硕
354886,华硕PadFone Infinity（32GB/联通版） ,5998,联通定制版PadFone Infinity，32GB ROM容量版本,http://detail.zol.com.cn/cell_phone/index354886.shtml,华硕
1162131,华硕鹰眼3（ZE553KL/全网通） ,2999,双镜头系统，一键光学变焦，应用双开,http://detail.zol.com.cn/cell_phone/index1162131.shtml,华硕
385931,华硕T45（T001/移动4G） ,540,主屏尺寸:4.5英寸 主屏分辨率:854x480像素 屏幕像素密度:218ppi 4G网络:移动TD-LTE 3G网络:移动3G（TD-SCDMA），联通2G/移动2G（GSM） 操作系统:Android OS 4.4 核心数:四核,http://detail.zol.com.cn/cell_phone/index385931.shtml,华硕
359814,华硕PadFone Mini（PF400CG/联通3G版） ,1999,主屏尺寸:4英寸 主屏材质:TFT材质（IPS技术） 主屏分辨率:800x480像素 屏幕像素密度:233ppi 网络类型:双卡 3G网络:HSPA+，联通3G（WCDMA），联通2G/移动2G（GSM） 操作系统:Android OS 4.3,http://detail.zol.com.cn/cell_phone/index359814.shtml,华硕
239539,华硕A10 ,1936,"外观设计:直板 网络模式:GSM，WCDMA 支持频段:2G：GSM 850/900/1800/1900
3G：WCDMA 900/2100MHz 主屏色彩:65536色 主屏分辨率:320×480像素 手机类型:3G手机，智能手机，拍照手机，导航手机 摄像头像素:500万像素 理论待机时间:660小时（2G），530小时（3G）",http://detail.zol.com.cn/cell_phone/index239539.shtml,华硕
1165401,华硕ZenFone Live（全网通） ,0,美颜直播，前置柔光灯，2.5D弧面玻璃,http://detail.zol.com.cn/cell_phone/index1165401.shtml,华硕
112557,华硕P735 ,2699,外观设计:翻盖 手机制式:3G/GSM 支持频段:GSM三频/WCDMA2100MHz 摄像头像素:200万像素 和弦铃声:128和弦 理论待机时间:GSM：180-220，WCDMA：170-220分钟,http://detail.zol.com.cn/cell_phone/index112557.shtml,华硕
