id,type,reference_price,descript,url,company
1830124,多亲Qin3 ultra（8GB/256GB） ,1399,软件防沉迷，家长管控，学习手机,http://detail.zol.com.cn/cell_phone/index1830124.shtml,多亲
1422109,多亲F22 Pro ,999,防沉迷，小爱同学，4G全网通,http://detail.zol.com.cn/cell_phone/index1422109.shtml,多亲
1310029,多亲Qin 2 Pro（2GB/32GB/移动/联通4G） ,569,小爱同学，实时定位，多语言互译，学习报告,http://detail.zol.com.cn/cell_phone/index1310029.shtml,多亲
1282784,多亲1s+（512MB/4GB/全网通） ,399,主屏尺寸:2.8英寸 出厂系统内核:MOCOR 5 主屏材质:TFT材质（IPS） 主屏分辨率:240x320像素 CPU型号:展讯 A53 SIM卡类型:Nano SIM卡 核心数:双核,http://detail.zol.com.cn/cell_phone/index1282784.shtml,多亲
1382908,多亲F21Pro（4GB/64GB/全网通） ,799,4G全网通，红外遥控，内置小米小爱同学，可远程管控，防沉迷学生手机,http://detail.zol.com.cn/cell_phone/index1382908.shtml,多亲
1382924,多亲F21Pro（3GB/32GB/全网通） ,599,4G全网通，红外遥控，内置小米小爱同学，可远程管控，防沉迷学生手机,http://detail.zol.com.cn/cell_phone/index1382924.shtml,多亲
1310024,多亲Qin 2（移动/联通4G） ,499,小爱同学，实时定位，多语言互译，学习报告,http://detail.zol.com.cn/cell_phone/index1310024.shtml,多亲
1282790,多亲QF9（512MB/4GB/电信4G） ,299,主屏尺寸:2.4英寸 出厂系统内核:MOCOR 5 主屏材质:TFT材质（IPS） 主屏分辨率:240x320像素 CPU型号:展讯 A53 4G网络:移动/电信TD-LTE（CSFB/SGLTE/SVLTE/VoLTE） SIM卡类型:Nano SIM卡,http://detail.zol.com.cn/cell_phone/index1282790.shtml,多亲
1353311,多亲1s（全网通） ,339,主屏尺寸:2.8英寸 主屏材质:TFT材质（IPS） 出厂系统内核:Android 主屏分辨率:320x240像素 CPU型号:展讯 A53 4G网络:全网通：移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE SIM卡类型:双卡（双Nano-Sim卡）,http://detail.zol.com.cn/cell_phone/index1353311.shtml,多亲
1282788,多亲1s+（512MB/4GB/电信4G） ,499,主屏尺寸:2.8英寸 出厂系统内核:MOCOR 5 主屏材质:TFT材质（IPS） 主屏分辨率:240x320像素 CPU型号:展讯 A53 SIM卡类型:Nano SIM卡 核心数:双核,http://detail.zol.com.cn/cell_phone/index1282788.shtml,多亲
1282786,多亲1s+（512MB/4GB/全网通） ,339,主屏尺寸:2.8英寸 出厂系统内核:MOCOR 5 主屏材质:TFT材质（IPS） 主屏分辨率:240x320像素 CPU型号:展讯 A53 SIM卡类型:Nano SIM卡 核心数:双核,http://detail.zol.com.cn/cell_phone/index1282786.shtml,多亲
