id,type,reference_price,descript,url,company
1296891,海信阅读手机A5（4GB/32GB/全网通/HiFi版） ,1259,智能调光柔光灯，六大内容平台，墨智键，防沉迷学生模式，护眼墨水屏,http://detail.zol.com.cn/cell_phone/index1296891.shtml,海信
1325402,海信阅读手机A5 Pro（4GB/64GB/全网通/CC版） ,1799,彩墨屏，电纸书阅读器，虎贲T610,http://detail.zol.com.cn/cell_phone/index1325402.shtml,海信
1407676,海信阅读手机A9（4GB/128GB） ,1799,定制护眼墨水屏，冷暖双色温，HiFi音质,http://detail.zol.com.cn/cell_phone/index1407676.shtml,海信
1353068,海信阅读手机A7（6GB/128GB/全网通/5G版/经典版） ,1999,双模5G，黑白墨水屏，虎贲T7510,http://detail.zol.com.cn/cell_phone/index1353068.shtml,海信
1353088,海信阅读手机A7（6GB/128GB/全网通/5G版/CC版） ,2399,双模5G，彩色墨水屏，虎贲T7510,http://detail.zol.com.cn/cell_phone/index1353088.shtml,海信
1297530,海信双屏手机A6L（6GB/64GB/全网通/悦享版） ,1999,双全面屏，双屏联动，沉浸式阅读，护眼夜光水墨屏，AI墨智键，学生模式,http://detail.zol.com.cn/cell_phone/index1297530.shtml,海信
1325424,海信阅读手机A5 Pro（6GB/128GB/全网通/CC版） ,1999,彩墨屏，电纸书阅读器，虎贲T610,http://detail.zol.com.cn/cell_phone/index1325424.shtml,海信
1281708,海信F30S（6GB/全网通/尊享版） ,999,屏幕类型:全面屏（水滴屏） 主屏尺寸:6.22英寸 主屏材质:TFT 主屏分辨率:2340x1080像素 屏幕像素密度:414ppi CPU型号:紫光展锐虎贲 T310 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE,http://detail.zol.com.cn/cell_phone/index1281708.shtml,海信
1320758,海信彩墨屏阅读手机A5C（4GB/64GB/全网通） ,1699,彩色水墨屏，电纸书阅读器，4096种色彩,http://detail.zol.com.cn/cell_phone/index1320758.shtml,海信
1297716,海信阅读手机A5（4GB/64GB/全网通/尊享版） ,1199,智能调光柔光灯，六大内容平台，墨智键，防沉迷学生模式，护眼墨水屏,http://detail.zol.com.cn/cell_phone/index1297716.shtml,海信
1297727,海信双屏手机A6L（6GB/128GB/全网通/尊享版） ,2249,双全面屏，双屏联动，沉浸式阅读，护眼夜光水墨屏，AI墨智键，学生模式,http://detail.zol.com.cn/cell_phone/index1297727.shtml,海信
1394198,海信F60 5G ,0,主屏尺寸:6.81英寸 屏幕类型:全面屏（水滴屏） 5G网络:移动5G（NR TDD），联通5G（NR TDD），电信5G（NR TDD） CPU型号:高通 骁龙 八核处理器 4G网络:全网通：移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 电池容量:5000mAh,http://detail.zol.com.cn/cell_phone/index1394198.shtml,海信
1266213,海信金刚8000（6GB/64GB/全网通） ,1299,MTKP70处理器，Android P，3.5mm耳机接口,http://detail.zol.com.cn/cell_phone/index1266213.shtml,海信
1325433,海信阅读手机A5 Pro（4GB/64GB/全网通/经典版） ,1599,水墨屏，电纸书阅读器，虎贲T610,http://detail.zol.com.cn/cell_phone/index1325433.shtml,海信
