id,type,reference_price,descript,url,company
1935239,真我GT5 Pro(12GB/256GB) ,3399,第三代骁龙8旗舰芯，IMX890超光影潜望长焦，4500nit无双屏,http://detail.zol.com.cn/cell_phone/index1935239.shtml,真我
1972473,真我12 Pro+(8GB/256GB) ,1599,6400万超光影潜望长焦，2160Hz护眼曲面屏，大师奢表设计,http://detail.zol.com.cn/cell_phone/index1972473.shtml,真我
1461200,真我GT Neo5 SE（8GB/256GB） ,1999,144Hz，1.5K直屏，第二代骁龙7+,http://detail.zol.com.cn/cell_phone/index1461200.shtml,真我
1610866,真我GT Neo6 ,0,CPU型号:高通 骁龙8 Gen2 CPU核心数:八核 RAM容量:8GB ROM容量:256GB 电池容量:5000mAh 后置摄像头1 后置摄像头:5000万像素 有线充电:150w,http://detail.zol.com.cn/cell_phone/index1610866.shtml,真我
1856215,真我GT5 150W （12GB/256GB） ,2999,第二代骁龙8，X7独显双芯，144Hz 1.5K,http://detail.zol.com.cn/cell_phone/index1856215.shtml,真我
1432524,真我GT Neo5 150W（8GB/256GB） ,2499,144Hz，1.5K直屏，骁龙8+,http://detail.zol.com.cn/cell_phone/index1432524.shtml,真我
1962520,真我GT5 Pro(16GB/512GB) ,3999,第三代骁龙8旗舰芯，IMX890超光影潜望长焦，4500nit无双屏,http://detail.zol.com.cn/cell_phone/index1962520.shtml,真我
1962521,真我GT5 Pro(16GB/1TB) ,4299,第三代骁龙8旗舰芯，IMX890超光影潜望长焦，4500nit无双屏,http://detail.zol.com.cn/cell_phone/index1962521.shtml,真我
1983821,真我12 Pro+(12GB/512GB) ,1999,6400万超光影潜望长焦，2160Hz护眼曲面屏，大师奢表设计,http://detail.zol.com.cn/cell_phone/index1983821.shtml,真我
1857427,真我GT5 150W （16GB/512GB） ,3299,第二代骁龙8，X7独显双芯，144Hz 1.5K,http://detail.zol.com.cn/cell_phone/index1857427.shtml,真我
1962519,真我GT5 Pro(16GB+256GB) ,3699,第三代骁龙8旗舰芯，IMX890超光影潜望长焦，4500nit无双屏,http://detail.zol.com.cn/cell_phone/index1962519.shtml,真我
1486865,真我11 Pro+（12GB/256GB） ,2099,2亿单镜变焦相机，2160Hz旗舰曲面屏，5000mAh电池,http://detail.zol.com.cn/cell_phone/index1486865.shtml,真我
1457604,真我GT Neo5 150W（12GB/256GB） ,2699,144Hz，1.5K直屏，骁龙8+,http://detail.zol.com.cn/cell_phone/index1457604.shtml,真我
1438332,真我GT Neo5 Pro ,0,CPU型号:高通 骁龙8 Gen1 CPU核心数:八核 RAM容量:8GB ROM容量:128GB 电池容量:5000mAh 后置摄像头1 后置摄像头:5000万像素 有线充电:80w（11V/7.3A）,http://detail.zol.com.cn/cell_phone/index1438332.shtml,真我
1495241,真我GT Neo5 SE （12GB/512GB） ,2299,144Hz，1.5K直屏，第二代骁龙7+,http://detail.zol.com.cn/cell_phone/index1495241.shtml,真我
1336165,真我X7 Pro（8GB/128GB/全网通/5G版） ,2399,120Hz柔性屏，天玑1000 Plus，65W智慧闪充，COP工艺超短下巴,http://detail.zol.com.cn/cell_phone/index1336165.shtml,真我
1455389,真我V30（6GB/128GB） ,1099,CPU型号:联发科 天玑700 CPU核心数:八核 RAM容量:6GB ROM容量:128GB 电池容量:5000mAh 后置摄像头1 后置摄像头:1300万像素 有线充电:10w,http://detail.zol.com.cn/cell_phone/index1455389.shtml,真我
1972472,真我12 Pro(8GB/256GB) ,1499,电影级人像长焦，大师奢表设计，2160Hz护眼曲面屏,http://detail.zol.com.cn/cell_phone/index1972472.shtml,真我
1627169,真我GT Neo5 150W（16GB/1TB ） ,3099,144Hz，1.5K直屏，骁龙8+,http://detail.zol.com.cn/cell_phone/index1627169.shtml,真我
1983820,真我12 Pro+(12GB/256GB) ,1799,6400万超光影潜望长焦，2160Hz护眼曲面屏，大师奢表设计,http://detail.zol.com.cn/cell_phone/index1983820.shtml,真我
1486861,真我11（8GB/256GB） ,1599,三星Super AMOLED屏幕，6400万像素，天玑6020,http://detail.zol.com.cn/cell_phone/index1486861.shtml,真我
1378437,真我GT 大师探索版（12GB/256GB/全网通/5G版） ,3199,高通骁龙870移动平台，120Hz三星曲面屏，+7GB运存拓展，索尼定制IMX766传感器,http://detail.zol.com.cn/cell_phone/index1378437.shtml,真我
1495242,真我GT Neo5 SE （16GB/1TB） ,2599,144Hz，1.5K直屏，第二代骁龙7+,http://detail.zol.com.cn/cell_phone/index1495242.shtml,真我
1385371,真我GT Neo2（8GB/256GB/全网通/5G版） ,2199,高通骁龙870处理器，120Hz AMOLED E4显示屏，65W智慧闪充，5000mAh电池,http://detail.zol.com.cn/cell_phone/index1385371.shtml,真我
1361741,真我GT Neo（8GB/128GB/全网通/5G版） ,1799,联发科天玑1200，3D钢化VC液冷散热，GT模式，50W智慧闪充,http://detail.zol.com.cn/cell_phone/index1361741.shtml,真我
1395998,真我GT Neo3（8GB/128GB） ,2299,天玑8100，独立显示芯片，光速秒充,http://detail.zol.com.cn/cell_phone/index1395998.shtml,真我
1857428,真我GT5 240W （24GB/1TB） ,3799,第二代骁龙8，X7独显双芯，240W满级秒充,http://detail.zol.com.cn/cell_phone/index1857428.shtml,真我
1394823,真我GT2 Pro（12GB/256GB/5G版） ,3999,50MP旗舰双主摄，金刚石冰芯散热系统Plus，2K AMOLED无级变帧屏,http://detail.zol.com.cn/cell_phone/index1394823.shtml,真我
1359230,真我V11（4GB/128GB/全网通/5G版） ,1199,5000mAh电池，8.4mm机身，侧边指纹,http://detail.zol.com.cn/cell_phone/index1359230.shtml,真我
1354524,真我V15（6GB/128GB/全网通/5G版） ,1399,50W闪充，179g轻薄机身，6400万像素AI三摄,http://detail.zol.com.cn/cell_phone/index1354524.shtml,真我
1367336,真我Q3 Pro（8GB/128GB/全网通/5G版） ,1799,天玑1100旗舰芯，120Hz三星AMOLED屏，30W智慧快充，全息潮玩设计,http://detail.zol.com.cn/cell_phone/index1367336.shtml,真我
1390598,真我GT Neo2T（8GB/256GB/全网通/5G版） ,1799,联发科天玑1200-AI版处理器，6400万像素广角三摄，120Hz 电竞屏，65w智慧闪充,http://detail.zol.com.cn/cell_phone/index1390598.shtml,真我
1367130,真我Q3（6GB/128GB/全网通/5G版） ,1299,高通骁龙750G处理器，120Hz电竞屏，30w智慧闪充，5000毫安大容量电池,http://detail.zol.com.cn/cell_phone/index1367130.shtml,真我
1486863,真我11 Pro（8GB/256GB） ,1699,1亿像素，天玑7050，2160Hz旗舰曲面屏,http://detail.zol.com.cn/cell_phone/index1486863.shtml,真我
1983823,真我12 Pro(12GB/256GB) ,1699,电影级人像长焦，大师奢表设计，2160Hz护眼曲面屏,http://detail.zol.com.cn/cell_phone/index1983823.shtml,真我
1495240,真我GT Neo5 SE （12GB/256GB） ,2199,144Hz，1.5K直屏，第二代骁龙7+,http://detail.zol.com.cn/cell_phone/index1495240.shtml,真我
1411894,真我GT2 大师探索版（8GB/128GB） ,3499,金属中框，C角设计，骁龙8+处理器,http://detail.zol.com.cn/cell_phone/index1411894.shtml,真我
1342329,真我Q2 Pro（8GB/128GB/全网通/5G版） ,1599,双5G，4800万多功能四摄，65W闪充,http://detail.zol.com.cn/cell_phone/index1342329.shtml,真我
1432874,真我10 Pro+（8GB/128GB） ,1699,天玑1080旗舰芯，一亿像素，OLED曲面屏,http://detail.zol.com.cn/cell_phone/index1432874.shtml,真我
1426856,真我10（8GB/128GB） ,1299,5000mAh电池，33w闪充，5000万超清三摄,http://detail.zol.com.cn/cell_phone/index1426856.shtml,真我
1341546,真我Q2（4GB/128GB/全网通/5G版） ,1199,双模5G，天玑800U，120Hz畅速屏，30W闪充,http://detail.zol.com.cn/cell_phone/index1341546.shtml,真我
1338031,真我V3（6GB/64GB/全网通/5G版） ,999,18W闪充，5000mAh大电池，1300万高清三摄,http://detail.zol.com.cn/cell_phone/index1338031.shtml,真我
1389587,真我Q3s（8GB/128GB/全网通/5G版） ,1399,高通骁龙778G处理器，144Hz可变帧电竞屏，4800万像素流光人像三摄,http://detail.zol.com.cn/cell_phone/index1389587.shtml,真我
1370721,真我GT Neo 闪速版（8GB/256GB/全网通/5G版） ,2099,联发科天玑1200处理器，6400万索尼主摄，钢化VC液冷散热，65w智慧闪充,http://detail.zol.com.cn/cell_phone/index1370721.shtml,真我
1455390,真我V30（8GB/128GB） ,1299,,http://detail.zol.com.cn/cell_phone/index1455390.shtml,真我
1402029,真我GT Neo3 150W（8GB/256GB） ,2699,天玑8100，独立显示芯片，光速秒充,http://detail.zol.com.cn/cell_phone/index1402029.shtml,真我
1601465,真我11 Pro+（12GB/512GB） ,2399,2亿单镜变焦相机，2160Hz旗舰曲面屏，5000mAh电池,http://detail.zol.com.cn/cell_phone/index1601465.shtml,真我
1332975,真我V5（6GB/128GB全网通/5G版） ,1399,30W智慧闪充，SA/NSA双模 5G，90Hz畅速屏,http://detail.zol.com.cn/cell_phone/index1332975.shtml,真我
1426863,真我10 Pro（8GB/256GB） ,1599,OLED屏幕，1亿像素，120Hz高刷,http://detail.zol.com.cn/cell_phone/index1426863.shtml,真我
1457607,真我GT Neo5 240W（16GB/1TB） ,3499,144Hz，1.5K直屏，骁龙8+,http://detail.zol.com.cn/cell_phone/index1457607.shtml,真我
1402027,真我GT Neo3（6GB/128GB） ,1999,天玑8100，独立显示芯片，光速秒充,http://detail.zol.com.cn/cell_phone/index1402027.shtml,真我
1455394,真我V30t（6GB/128GB） ,0,CPU型号:联发科 天玑700 CPU核心数:八核 RAM容量:6GB ROM容量:128GB 电池容量:5000mAh 后置摄像头1 后置摄像头:1300万像素 有线充电:10w,http://detail.zol.com.cn/cell_phone/index1455394.shtml,真我
1371871,真我GT Neo 闪速版（12GB/256GB/全网通/5G版） ,2299,联发科天玑1200处理器，6400万索尼主摄，钢化VC液冷散热，65w智慧闪充,http://detail.zol.com.cn/cell_phone/index1371871.shtml,真我
1403319,真我Q5 Pro（8GB/128GB） ,2099,80W超速闪充，骁龙870处理器，120Hz AMOLED E4屏,http://detail.zol.com.cn/cell_phone/index1403319.shtml,真我
1375672,真我GT 大师版（8GB/256GB/全网通/5G版） ,2599,高通骁龙778G处理器，65W智慧闪充，独家街头摄影模式，3200万索尼超清美颜自拍，+5G运存拓展,http://detail.zol.com.cn/cell_phone/index1375672.shtml,真我
1601466,真我11 Pro+（12GB/1TB） ,2799,2亿单镜变焦相机，2160Hz旗舰曲面屏，5000mAh电池,http://detail.zol.com.cn/cell_phone/index1601466.shtml,真我
1369734,真我V25（12GB/256GB） ,1999,CPU型号:高通 骁龙695 CPU核心数:八核 RAM容量:12GB ROM容量:256GB 电池容量:5000mAh 后置摄像头1 后置摄像头:6400万像素 有线充电:33w,http://detail.zol.com.cn/cell_phone/index1369734.shtml,真我
1601472,真我11（12GB/256GB） ,1799,三星Super AMOLED屏幕，6400万像素，天玑6020,http://detail.zol.com.cn/cell_phone/index1601472.shtml,真我
1395006,真我GT2（8GB/128GB/5G版） ,2599,高通骁龙888，金刚石冰芯散热系统，索尼 IMX766 OIS超大底主摄，120Hz AMOLED畅速屏,http://detail.zol.com.cn/cell_phone/index1395006.shtml,真我
1403477,真我V23（12GB/256GB） ,1899,天玑810处理器，5000mAh大电量电池，33w有线充电,http://detail.zol.com.cn/cell_phone/index1403477.shtml,真我
1336161,真我X7（6GB/128GB/全网通/5G版） ,1799,65W智慧闪充，6400万广角四摄，175g超轻超薄手感,http://detail.zol.com.cn/cell_phone/index1336161.shtml,真我
1379295,真我GT 大师探索版（8GB/128GB/全网通/5G版） ,2799,高通骁龙870移动平台，120Hz三星曲面屏，+7GB运存拓展，索尼定制IMX766传感器,http://detail.zol.com.cn/cell_phone/index1379295.shtml,真我
1455395,真我V30t（8GB/128GB） ,0,,http://detail.zol.com.cn/cell_phone/index1455395.shtml,真我
1359235,真我V11（6GB/128GB/全网通/5G版） ,1399,5000mAh电池，8.4mm机身，侧边指纹,http://detail.zol.com.cn/cell_phone/index1359235.shtml,真我
1402028,真我GT Neo3（12GB/256GB） ,2599,天玑8100，独立显示芯片，光速秒充,http://detail.zol.com.cn/cell_phone/index1402028.shtml,真我
1457606,真我GT Neo5 240W（16GB/256GB） ,3199,144Hz，1.5K直屏，骁龙8+,http://detail.zol.com.cn/cell_phone/index1457606.shtml,真我
1364650,真我V13（8GB/128GB/全网通/5G版） ,1599,联发科天玑700，90Hz畅速全面屏，侧面指纹识别,http://detail.zol.com.cn/cell_phone/index1364650.shtml,真我
1403095,真我Q5（8GB/128GB） ,1599,高通骁龙695，60W智慧闪充，5000mAh超大电池,http://detail.zol.com.cn/cell_phone/index1403095.shtml,真我
1601470,真我11 Pro（12GB/512GB） ,2199,1亿像素，天玑7050，2160Hz旗舰曲面屏,http://detail.zol.com.cn/cell_phone/index1601470.shtml,真我
