id,type,reference_price,descript,url,company
1375380,索尼Xperia PRO-I（12GB/512GB/全网通/5G版） ,10999,高通骁龙888，1英寸影像传感器，索尼专业相机技术，光学防抖功能,http://detail.zol.com.cn/cell_phone/index1375380.shtml,索尼移动
1399410,索尼Xperia 1 IV（12GB/256GB） ,8499,80-125mm光学变焦，120fps高速三摄，骁龙8 Gen1处理器,http://detail.zol.com.cn/cell_phone/index1399410.shtml,索尼移动
1553635,索尼移动Xperia 1 V（12GB/256GB） ,8999,120Hz，OLED宽屏，骁龙8第二代芯片,http://detail.zol.com.cn/cell_phone/index1553635.shtml,索尼移动
1410320,索尼Xperia 1 IV （12GB/512GB） ,9499,80-125mm光学变焦，120fps高速三摄，骁龙8 Gen1处理器,http://detail.zol.com.cn/cell_phone/index1410320.shtml,索尼移动
1553637,索尼移动Xperia 5 V(8GB/256GB) ,6999,,http://detail.zol.com.cn/cell_phone/index1553637.shtml,索尼移动
1357124,索尼Xperia 1 III（12GB/256GB/全网通/5G版） ,8499,高通骁龙888，AI超分辨率变焦技术，4K HDR 120Hz显示屏，双核相位检测传感器,http://detail.zol.com.cn/cell_phone/index1357124.shtml,索尼移动
1366963,索尼Xperia 5 III（8GB/256GB/全网通/5G版） ,6599,高通骁龙888，潜望式可变长焦镜头，实时追踪对焦，HDR OLED 120Hz,http://detail.zol.com.cn/cell_phone/index1366963.shtml,索尼移动
1367249,索尼Xperia 1 III（12GB/512GB/全网通/5G版） ,9499,高通骁龙888，AI超分辨率变焦技术，4K HDR 120Hz显示屏，双核相位检测传感器,http://detail.zol.com.cn/cell_phone/index1367249.shtml,索尼移动
1610468,索尼移动Xperia 1 V（12GB/512GB） ,9799,120Hz，OLED宽屏，骁龙8第二代芯片,http://detail.zol.com.cn/cell_phone/index1610468.shtml,索尼移动
1425904,索尼移动Xperia 5 Ⅳ（8GB/256GB） ,6599,高通 骁龙8 Gen1，5000mAh电池，120Hz，67mm纤窄机身,http://detail.zol.com.cn/cell_phone/index1425904.shtml,索尼移动
1772479,索尼移动Xperia Pro-i II ,0,CPU型号:高通 骁龙8 Gen2 CPU核心数:八核 RAM容量:12GB ROM容量:512GB 电池容量:4500mAh 后置摄像头1 后置摄像头:1220万像素 有线充电:30w，Xperia自适应充电，电池维护,http://detail.zol.com.cn/cell_phone/index1772479.shtml,索尼移动
1408298,索尼Xperia 10 IV（6GB/128GB） ,0,高通骁龙695，5000毫安电池，IP68防水防尘,http://detail.zol.com.cn/cell_phone/index1408298.shtml,索尼移动
1258015,索尼Xperia 10 Plus（6GB/64GB/全网通） ,1640,主屏尺寸:6.5英寸 出厂系统内核:Android Pie 主屏分辨率:2560x1080像素 屏幕像素密度:427ppi CPU型号:高通 骁龙636 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE SIM卡类型:双卡，Nano SIM卡,http://detail.zol.com.cn/cell_phone/index1258015.shtml,索尼移动
1357783,索尼Xperia Pro（8GB/512GB/全网通/5G版） ,0,360度天线设计，骁龙865，外接显示屏,http://detail.zol.com.cn/cell_phone/index1357783.shtml,索尼移动
1357119,索尼Xperia 10 III（6GB/128GB/全网通/5G版） ,0,高通骁龙690，可变潜望式长焦镜头，蔡司T镀膜,http://detail.zol.com.cn/cell_phone/index1357119.shtml,索尼移动
1362357,索尼Xperia Ace 2（全网通/5G版） ,0,主屏尺寸:5.5英寸 屏幕类型:全面屏 主屏材质:LCD 出厂系统内核:Android 9.0 主屏分辨率:2160x1080像素 屏幕像素密度:439ppi CPU型号:高通 骁龙690,http://detail.zol.com.cn/cell_phone/index1362357.shtml,索尼移动
1317234,索尼Xperia 10 II（4GB/128GB/全网通） ,0,屏幕类型:全面屏（21:9） 主屏尺寸:6英寸 出厂系统内核:Android 10 主屏材质:OLED 主屏分辨率:2520x1080像素 HDR技术:支持 CPU型号:高通 骁龙665,http://detail.zol.com.cn/cell_phone/index1317234.shtml,索尼移动
1249799,索尼Xperia XA3 Ultra（全网通） ,暂无报价,主屏尺寸:6英寸 主屏材质:OLED 主屏分辨率:2560x1440像素 屏幕像素密度:490ppi 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE CPU型号:高通 骁龙636 核心数:八核,http://detail.zol.com.cn/cell_phone/index1249799.shtml,索尼移动
1159575,索尼G3121（移动4G） ,暂无报价,主屏尺寸:5.5英寸 主屏分辨率:1920x1080像素 屏幕像素密度:401ppi 4G网络:移动TD-LTE 操作系统:Android 7.0 CPU型号:联发科 Helio P20 RAM容量:4GB,http://detail.zol.com.cn/cell_phone/index1159575.shtml,索尼移动
1173070,索尼Xperia Edge Premium（双4G） ,暂无报价,主屏尺寸:0英寸 主屏材质:AMOLED 主屏分辨率:2560x1440像素 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE CPU型号:高通 骁龙845 RAM容量:6GB 闪光灯:LED补光灯,http://detail.zol.com.cn/cell_phone/index1173070.shtml,索尼移动
1205275,索尼H8216（全网通） ,暂无报价,主屏尺寸:5.48英寸 主屏分辨率:1920x1080像素 屏幕像素密度:402ppi 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE RAM容量:4GB ROM容量:64GB 后置摄像头:双1200万像素,http://detail.zol.com.cn/cell_phone/index1205275.shtml,索尼移动
