id,type,reference_price,descript,url,company
1784392,魅族21 Pro(12GB+256GB) ,4999,Flyme AI，2k+ 单手臻彩屏，mTouch Max 广域超声波指纹识别,http://detail.zol.com.cn/cell_phone/index1784392.shtml,魅族
1784391,魅族21(8GB/256GB) ,3399,1.74mm极窄四等边直屏，骁龙8Gen3，2亿像素,http://detail.zol.com.cn/cell_phone/index1784391.shtml,魅族
1397388,魅族20（12GB/128GB） ,2999,第二代骁龙8旗舰算力，上探行业品质标杆，FIyme10无界生态,http://detail.zol.com.cn/cell_phone/index1397388.shtml,魅族
1397392,魅族20 Pro（12GB/128GB） ,3999,无界设计，轻薄旗舰，第二代骁龙8旗舰,http://detail.zol.com.cn/cell_phone/index1397392.shtml,魅族
1494538,魅族20 Pro （12GB/512GB） ,4799,无界设计，轻薄旗舰，第二代骁龙8旗舰,http://detail.zol.com.cn/cell_phone/index1494538.shtml,魅族
1494536,魅族20 （12GB/512GB） ,3799,第二代骁龙8旗舰算力，上探行业品质标杆，FIyme10无界生态,http://detail.zol.com.cn/cell_phone/index1494536.shtml,魅族
1494537,魅族20 Pro （12GB/256GB） ,4399,无界设计，轻薄旗舰，第二代骁龙8旗舰,http://detail.zol.com.cn/cell_phone/index1494537.shtml,魅族
1960141,魅族21(12GB/512GB) ,3999,1.74mm极窄四等边直屏，骁龙8Gen3，2亿像素,http://detail.zol.com.cn/cell_phone/index1960141.shtml,魅族
1960140,魅族21(12GB/256GB) ,3699,1.74mm极窄四等边直屏，骁龙8Gen3，2亿像素,http://detail.zol.com.cn/cell_phone/index1960140.shtml,魅族
1984864,魅族21 Pro(16GB+512GB) ,5399,Flyme AI，2k+ 单手臻彩屏，mTouch Max 广域超声波指纹识别,http://detail.zol.com.cn/cell_phone/index1984864.shtml,魅族
1494539,魅族20 INFINITY 无界版（12GB/256GB） ,6299,"2.48mm 四等极边，91% 极致屏占,惊艳视觉感官，挑战行业极限",http://detail.zol.com.cn/cell_phone/index1494539.shtml,魅族
1494535,魅族20 （12GB/256GB） ,3399,第二代骁龙8旗舰算力，上探行业品质标杆，FIyme10无界生态,http://detail.zol.com.cn/cell_phone/index1494535.shtml,魅族
1385721,魅族18s（8GB/256GB/全网通/5G版） ,3199,高通骁龙888Plus处理器，2K曲面屏，高通二代超声波屏下指纹,http://detail.zol.com.cn/cell_phone/index1385721.shtml,魅族
1272204,魅族17（8GB/128GB/全网通/5G版） ,3199,超线性扬声器，mSmart 5G，mEngine 3.0，全场景影像系统,http://detail.zol.com.cn/cell_phone/index1272204.shtml,魅族
1494540,魅族20 INFINITY 无界版（12GB/512GB） ,7299,"2.48mm 四等极边，91% 极致屏占,惊艳视觉感官，挑战行业极限",http://detail.zol.com.cn/cell_phone/index1494540.shtml,魅族
1357540,魅族18（8GB/128GB/全网通/5G版） ,3999,新一代超声波指纹解锁，高通骁龙888，6400W超级防抖全场景影像系统，Flyme 9安全纯净系统,http://detail.zol.com.cn/cell_phone/index1357540.shtml,魅族
1321992,魅族17 Pro（8GB/128GB/全网通/5G版） ,3799,6400W专业影像系统，27W无线超充，mSmart 5G，mEngine 3.0,http://detail.zol.com.cn/cell_phone/index1321992.shtml,魅族
1984865,魅族21 Pro(16GB+1TB) ,5899,Flyme AI，2k+ 单手臻彩屏，mTouch Max 广域超声波指纹识别,http://detail.zol.com.cn/cell_phone/index1984865.shtml,魅族
1385722,魅族18X（8GB/256GB/全网通/5G版） ,2799,高通骁龙870处理器，120Hz柔性屏，6400万AI超清三摄 ，4300mAh大电池,http://detail.zol.com.cn/cell_phone/index1385722.shtml,魅族
1613703,魅族20（8GB/256GB） ,3199,第二代骁龙8旗舰算力，上探行业品质标杆，FIyme10无界生态,http://detail.zol.com.cn/cell_phone/index1613703.shtml,魅族
1357542,魅族18 Pro（8GB/256GB/全网通/5G版） ,3999,极边四曲微弧屏，AR全场景大师影像系统，高通骁龙888,http://detail.zol.com.cn/cell_phone/index1357542.shtml,魅族
1385714,魅族18s Pro（8GB/256GB/全网通/5G版） ,4999,高通骁龙888Plus，40W无线超充，2K曲面屏，双超线性扬声器,http://detail.zol.com.cn/cell_phone/index1385714.shtml,魅族
1361582,魅族18（12GB/256GB/全网通/5G版） ,4999,新一代超声波指纹解锁，高通骁龙888，6400W超级防抖全场景影像系统，Flyme 9安全纯净系统,http://detail.zol.com.cn/cell_phone/index1361582.shtml,魅族
1361586,魅族18 Pro（12GB/256GB/全网通/5G版） ,5199,极边四曲微弧屏，AR全场景大师影像系统，高通骁龙888,http://detail.zol.com.cn/cell_phone/index1361586.shtml,魅族
1494541,魅族20 INFINITY 无界版（16GB/1TB） ,8499,"2.48mm 四等极边，91% 极致屏占,惊艳视觉感官，挑战行业极限",http://detail.zol.com.cn/cell_phone/index1494541.shtml,魅族
1629056,魅族20 Pro 20周年限定版（12GB/512GB ） ,4799,无界设计，轻薄旗舰，第二代骁龙8旗舰,http://detail.zol.com.cn/cell_phone/index1629056.shtml,魅族
