id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1992906,None,None,None,None,None,None,None,None,None,None,屏幕大、价格便宜、屏幕效果好、价格高、性能差、续航一般、屏幕质量一般、性价比低,http://detail.zol.com.cn/1993/1992906/review.shtml
1486867,None,None,None,None,None,None,None,None,None,None,性价比高、拍照清晰、价格便宜,http://detail.zol.com.cn/1487/1486867/review.shtml
1772541,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1773/1772541/review.shtml
1772535,None,None,None,None,None,None,None,None,None,None,手感舒适、续航一般,http://detail.zol.com.cn/1773/1772535/review.shtml
1959978,None,None,None,None,None,None,None,None,None,None,外观漂亮、运行流畅,http://detail.zol.com.cn/1960/1959978/review.shtml
1772537,None,None,None,None,None,None,None,None,None,None,性能好、手感舒适、续航出色、外观漂亮、成像效果好、屏幕效果好、信号强、续航一般,http://detail.zol.com.cn/1773/1772537/review.shtml
1959983,None,None,None,None,None,None,None,None,None,None,续航出色、性价比高、性能好、外观漂亮、手感舒适、屏幕效果好、拍照清晰,http://detail.zol.com.cn/1960/1959983/review.shtml
1772539,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1773/1772539/review.shtml
1948979,None,None,None,None,None,None,None,None,None,None,手感舒适、续航一般,http://detail.zol.com.cn/1949/1948979/review.shtml
1950436,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1951/1950436/review.shtml
1434230,None,None,None,None,None,None,None,None,None,None,性能好、价格合理、性价比高、续航出色、外观漂亮、游戏运行流畅、电池容量大、电池容量小,http://detail.zol.com.cn/1435/1434230/review.shtml
1948986,None,None,None,None,None,None,None,None,None,None,性能好、手感舒适、成像效果好、屏幕效果好、信号强、续航出色、外观漂亮、续航一般,http://detail.zol.com.cn/1949/1948986/review.shtml
1438320,None,None,None,None,None,None,None,None,None,None,手感舒适、屏幕效果好、性价比高、性能好、续航出色、价格高,http://detail.zol.com.cn/1439/1438320/review.shtml
1966948,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1967/1966948/review.shtml
1392791,None,None,None,None,None,None,None,None,None,None,屏幕大、屏幕效果好、运行流畅、系统流畅、续航一般、屏幕一般,http://detail.zol.com.cn/1393/1392791/review.shtml
1428480,None,None,None,None,None,None,None,None,None,None,屏幕效果好、摄像效果出色、外观漂亮、价格便宜、相机像素高、系统流畅、续航出色、价格高,http://detail.zol.com.cn/1429/1428480/review.shtml
1342511,None,None,None,None,None,None,None,None,None,None,手感舒适、外观漂亮、性价比高、运行流畅、界面漂亮、屏幕效果好、续航出色、系统不足、续航一般、分辨率低、游戏性能低、功耗大、屏幕一般,http://detail.zol.com.cn/1343/1342511/review.shtml
1930410,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1931/1930410/review.shtml
1966881,None,None,None,None,None,None,None,None,None,None,外观漂亮、运行流畅,http://detail.zol.com.cn/1967/1966881/review.shtml
1637674,None,None,None,None,None,None,None,None,None,None,性价比高、拍照清晰、价格便宜,http://detail.zol.com.cn/1638/1637674/review.shtml
1473778,None,None,None,None,None,None,None,None,None,None,处理器性能一般,http://detail.zol.com.cn/1474/1473778/review.shtml
1402543,None,None,None,None,None,None,None,None,None,None,外观漂亮、性能不错、续航一般,http://detail.zol.com.cn/1403/1402543/review.shtml
1473779,None,None,None,None,None,None,None,None,None,None,硬件配置强悍,http://detail.zol.com.cn/1474/1473779/review.shtml
1436800,None,None,None,None,None,None,None,None,None,None,续航出色、价格高,http://detail.zol.com.cn/1437/1436800/review.shtml
1948987,None,None,None,None,None,None,None,None,None,None,性能好、手感舒适、外观漂亮、成像效果好、屏幕效果好、信号强、续航出色、续航一般,http://detail.zol.com.cn/1949/1948987/review.shtml
1429771,None,None,None,None,None,None,None,None,None,None,外观漂亮、信号差,http://detail.zol.com.cn/1430/1429771/review.shtml
1505454,None,None,None,None,None,None,None,None,None,None,性能好、系统强悍、价格高,http://detail.zol.com.cn/1506/1505454/review.shtml
1486869,None,None,None,None,None,None,None,None,None,None,机身轻薄、性能好、性价比高、手感舒适、续航出色、屏幕效果好、价格高、续航一般、音质一般、性价比不高,http://detail.zol.com.cn/1487/1486869/review.shtml
1970828,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1971/1970828/review.shtml
1935477,None,None,None,None,None,None,None,None,None,None,续航出色、外观漂亮、性价比高、屏幕效果好,http://detail.zol.com.cn/1936/1935477/review.shtml
1333373,None,None,None,None,None,None,None,None,None,None,续航一般、游戏性能低,http://detail.zol.com.cn/1334/1333373/review.shtml
1966880,None,None,None,None,None,None,None,None,None,None,外观漂亮、运行流畅,http://detail.zol.com.cn/1967/1966880/review.shtml
1359541,None,None,None,None,None,None,None,None,None,None,外观漂亮、机身轻薄、价格合理、音色音质好、系统强悍、价格便宜、续航一般,http://detail.zol.com.cn/1360/1359541/review.shtml
1966886,None,None,None,None,None,None,None,None,None,None,续航出色、性价比高、性能好、外观漂亮、手感舒适、屏幕效果好、拍照清晰,http://detail.zol.com.cn/1967/1966886/review.shtml
1948980,None,None,None,None,None,None,None,None,None,None,手感舒适、续航一般,http://detail.zol.com.cn/1949/1948980/review.shtml
1342813,None,None,None,None,None,None,None,None,None,None,手感舒适、性能好,http://detail.zol.com.cn/1343/1342813/review.shtml
1322836,None,None,None,None,None,None,None,None,None,None,外观漂亮、屏幕大,http://detail.zol.com.cn/1323/1322836/review.shtml
1418991,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1419/1418991/review.shtml
1966885,None,None,None,None,None,None,None,None,None,None,续航出色、性价比高、性能好、外观漂亮、手感舒适、屏幕效果好、拍照清晰,http://detail.zol.com.cn/1967/1966885/review.shtml
1389267,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1390/1389267/review.shtml
1955896,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1956/1955896/review.shtml
1355570,None,None,None,None,None,None,None,None,None,None,屏幕大、续航出色、性价比低、价格高、续航一般,http://detail.zol.com.cn/1356/1355570/review.shtml
1355569,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1356/1355569/review.shtml
1434228,None,None,None,None,None,None,None,None,None,None,屏幕效果好、外观漂亮、摄像效果出色、续航出色、价格便宜、相机像素高、系统流畅、价格高,http://detail.zol.com.cn/1435/1434228/review.shtml
1935476,None,None,None,None,None,None,None,None,None,None,外观漂亮、续航出色、屏幕效果好、性价比高,http://detail.zol.com.cn/1936/1935476/review.shtml
1637676,None,None,None,None,None,None,None,None,None,None,机身轻薄、性能好、屏幕效果好、性价比高、手感舒适、续航出色、价格高、音质一般、性价比不高、续航一般,http://detail.zol.com.cn/1638/1637676/review.shtml
1299595,None,None,None,None,None,None,None,None,None,None,游戏性能不错、续航出色、系统强悍、电池容量大、硬件配置强悍、价格高,http://detail.zol.com.cn/1300/1299595/review.shtml
1373732,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1374/1373732/review.shtml
1402539,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1403/1402539/review.shtml
1350608,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1351/1350608/review.shtml
1434231,None,None,None,None,None,None,None,None,None,None,性能好、电池容量大、价格合理、性价比高、续航出色、外观漂亮、游戏运行流畅、电池容量小,http://detail.zol.com.cn/1435/1434231/review.shtml
1993142,None,None,None,None,None,None,None,None,None,None,屏幕大、价格便宜、屏幕效果好、价格高、续航一般、屏幕质量一般、性价比低、性能差,http://detail.zol.com.cn/1994/1993142/review.shtml
1533889,None,None,None,None,None,None,None,None,None,None,手感舒适、屏幕效果好、性价比高、性能好、续航出色、价格高,http://detail.zol.com.cn/1534/1533889/review.shtml
